# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_non_coding_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A00572g	DEHA2A00572g	CAG84306	protein_coding	19	0	30	283	0	25	130	19	0	5	0	0	44	0	0	0	0	0	0	0	0	0	5	153
DEHA2A00594g	DEHA2A00594g	CAG84307	protein_coding	30	0	26	294	0	16	137	30	0	10	0	0	52	0	0	0	0	0	0	0	0	0	4	157
DEHA2A00616g	DEHA2A00616g	CAG84308	protein_coding	11	0	22	340	0	15	156	11	0	7	0	0	30	0	0	0	0	0	0	0	0	0	3	184
DEHA2A00638g	DEHA2A00638g	CAG84309	protein_coding	31	0	24	317	0	8	170	31	0	16	0	0	45	0	0	0	0	0	0	0	0	0	10	147
DEHA2A00660g	DEHA2A00660g	CAG84310	protein_coding	11	0	19	329	0	6	169	11	0	13	0	0	24	0	0	0	0	0	0	0	0	0	6	160
DEHA2A00682g	DEHA2A00682g	CAG84311	protein_coding	21	0	21	328	0	8	168	21	0	13	0	0	37	0	0	0	0	0	0	0	0	0	5	160
DEHA2A00704g	DEHA2A00704g	CAG84312	protein_coding	25	0	21	348	0	15	187	25	0	6	0	0	32	0	0	0	0	0	0	0	0	0	14	161
DEHA2A00726g	DEHA2A00726g	CAG84313	protein_coding	51	0	25	337	0	13	170	51	0	12	0	0	62	0	0	0	0	0	0	0	0	0	14	167
DEHA2A00748g	DEHA2A00748g	CAR65342	protein_coding	27	0	29	301	0	25	156	26	0	5	0	0	50	0	0	0	0	1	0	0	1	0	5	145
DEHA2A00770g	DEHA2A00770g	CAG84318	protein_coding	21	0	2	319	0	0	170	21	0	2	0	0	20	0	0	0	0	0	0	0	0	0	3	149
DEHA2A00792g	DEHA2A00792g	CAG84319	protein_coding	22	0	26	304	0	7	143	22	0	19	0	0	44	0	0	0	0	0	0	0	0	0	4	161
DEHA2A00814g	DEHA2A00814g	CAG84320	protein_coding	8	0	22	289	0	20	147	7	0	3	0	0	27	0	0	0	0	1	0	0	1	0	2	142
DEHA2A00836g	DEHA2A00836g	CAG84321	protein_coding	26	0	14	257	0	4	117	26	0	10	0	0	38	0	0	0	0	0	0	0	0	0	2	140
DEHA2A00858g	DEHA2A00858g	CAG84322	protein_coding	17	0	37	290	0	11	153	17	0	26	0	0	44	0	0	0	0	0	0	0	0	0	10	137
DEHA2A00880g	DEHA2A00880g	CAG84323	protein_coding	16	0	28	291	0	25	140	16	0	3	0	0	39	0	0	0	0	0	0	0	0	0	5	151
DEHA2A00902g	DEHA2A00902g	CAG84324	protein_coding	7	0	13	250	0	2	133	7	0	11	0	0	20	0	0	0	0	0	0	0	0	0	0	117
DEHA2A00924r	DEHA2A00924r	DEHA2A00924r	protein_coding	0	0	0	260	0	0	127	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	132
DEHA2A00946g	DEHA2A00946g	CAG84326	protein_coding	9	0	20	237	0	6	82	9	0	14	0	0	25	0	0	0	0	0	0	0	0	0	4	155
DEHA2A00968g	DEHA2A00968g	CAG84327	protein_coding	11	0	3	225	0	1	148	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	14	77
DEHA2A00990r	DEHA2A00990r	DEHA2A00990r	protein_coding	0	0	0	237	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119
DEHA2A01012g	DEHA2A01012g	CAG84330	protein_coding	10	0	0	219	0	0	130	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	89
DEHA2A01034g	DEHA2A01034g	CAG84331	protein_coding	27	0	27	215	0	24	61	27	0	3	0	2	50	0	0	0	0	0	0	0	0	0	4	152
DEHA2A01056g	DEHA2A01056g	CAG84332	protein_coding	21	0	16	194	0	4	111	21	0	12	0	0	35	0	0	0	0	0	0	0	0	0	2	83
DEHA2A01078r	DEHA2A01078r	DEHA2A01078r	protein_coding	0	0	0	228	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108
DEHA2A01100g	DEHA2A01100g	CAG84333	protein_coding	44	0	44	169	0	17	41	44	0	27	0	0	82	0	0	0	0	0	0	0	0	0	6	128
DEHA2A01122g	DEHA2A01122g	CAG84334	protein_coding	1	0	2	183	0	2	122	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	61
DEHA2A01144g	DEHA2A01144g	CAG84335	protein_coding	11	0	18	174	0	15	100	11	0	3	0	0	27	0	0	0	0	0	0	0	0	0	2	74
DEHA2A01166g	DEHA2A01166g	CAG84336	protein_coding	0	0	0	162	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92
DEHA2A01188g	DEHA2A01188g	CAR65343	protein_coding	1	0	0	172	0	0	130	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	42
DEHA2A01210g	DEHA2A01210g	CAG84338	protein_coding	17	0	15	184	0	4	145	17	0	11	0	0	31	0	0	0	0	0	0	0	0	0	1	39
DEHA2A01232g	DEHA2A01232g	CAG84339	protein_coding	7	0	1	212	0	0	71	7	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	141
DEHA2A01254g	DEHA2A01254g	CAG84340	protein_coding	51	0	46	236	0	16	161	51	0	30	0	0	88	0	0	0	0	0	0	0	0	0	9	75
DEHA2A01276g	DEHA2A01276g	CAG84341	protein_coding	19	0	15	300	0	11	147	19	0	4	0	0	31	0	0	0	0	0	0	0	0	0	2	153
DEHA2A01298g	DEHA2A01298g	CAG84342	protein_coding	25	0	15	285	0	10	141	25	0	5	0	0	34	0	0	0	0	0	0	0	0	0	5	144
DEHA2A01320g	DEHA2A01320g	CAG84343	protein_coding	8	0	26	266	0	8	117	8	0	18	0	0	31	0	0	0	0	0	0	0	0	0	3	149
DEHA2A01342g	DEHA2A01342g	CAG84344	protein_coding	20	1	31	285	0	23	162	20	0	8	0	5	49	0	0	0	0	1	0	0	0	0	2	119
DEHA2A01364g	DEHA2A01364g	CAG84345	protein_coding	22	0	24	324	0	22	151	22	0	2	0	0	37	0	0	0	0	0	0	0	0	0	9	173
DEHA2A01386g	DEHA2A01386g	CAG84346	protein_coding	2	0	0	302	0	0	173	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	129
DEHA2A01408g	DEHA2A01408g	CAG84347	protein_coding	15	0	14	296	0	1	179	15	0	13	0	0	23	0	0	0	0	0	0	0	0	0	6	117
DEHA2A01430g	DEHA2A01430g	CAG84348	protein_coding	12	0	13	319	0	5	109	12	0	8	0	0	22	0	0	0	0	0	0	0	0	0	3	210
DEHA2A01452g	DEHA2A01452g	CAR65344	protein_coding	70	0	34	333	0	26	165	70	0	8	0	0	57	0	0	0	0	0	0	0	0	0	46	168
DEHA2A01474g	DEHA2A01474g	CAG84354	protein_coding	21	0	19	341	0	5	140	21	0	14	0	0	33	0	0	0	0	0	0	0	0	0	7	201
DEHA2A01496g	DEHA2A01496g	CAG84355	protein_coding	6	0	5	332	0	2	144	6	0	3	0	0	7	0	0	0	0	0	0	0	0	0	4	188
DEHA2A01518g	DEHA2A01518g	CAG84356	protein_coding	12	0	16	326	0	2	159	12	0	14	0	0	25	0	0	0	0	0	0	0	0	0	3	167
DEHA2A01540g	DEHA2A01540g	CAG84357	protein_coding	37	0	15	318	0	5	170	37	0	10	0	0	46	0	0	0	0	0	0	0	0	0	6	148
DEHA2A01562g	DEHA2A01562g	CAG84358	protein_coding	25	0	19	285	0	10	141	25	0	9	0	0	35	0	0	0	0	0	0	0	0	0	9	144
DEHA2A01584g	DEHA2A01584g	CAG84359	protein_coding	22	0	17	264	0	5	126	22	0	12	0	0	33	0	0	0	0	0	0	0	0	0	6	138
DEHA2A01606g	DEHA2A01606g	CAG84360	protein_coding	26	0	20	274	0	2	111	26	0	18	0	0	37	0	0	0	0	0	0	0	0	0	9	163
DEHA2A01628g	DEHA2A01628g	CAG84361	protein_coding	30	0	29	330	0	25	169	30	0	4	0	0	52	0	0	0	0	0	0	0	0	0	6	161
DEHA2A01650g	DEHA2A01650g	CAG84362	protein_coding	6	0	7	294	0	4	169	6	0	3	0	0	10	0	0	0	0	0	0	0	0	0	3	125
DEHA2A01672g	DEHA2A01672g	CAG84363	protein_coding	1	1	3	293	0	3	113	1	0	0	0	4	4	0	0	0	0	1	0	0	0	0	0	177
DEHA2A01694g	DEHA2A01694g	CAG84364	protein_coding	10	0	6	310	0	1	180	10	0	5	0	0	14	0	0	0	0	0	0	0	0	0	2	130
DEHA2A01716g	DEHA2A01716g	CAG84365	protein_coding	102	0	92	313	0	34	176	102	0	58	0	0	158	0	0	0	0	0	0	0	0	0	36	137
DEHA2A01738g	DEHA2A01738g	CAG84366	protein_coding	39	0	53	320	0	27	136	39	0	26	0	0	69	0	0	0	0	0	0	0	0	0	22	184
DEHA2A01760g	DEHA2A01760g	CAG84367	protein_coding	14	0	16	374	0	4	156	14	0	12	0	0	24	0	0	0	0	0	0	0	0	0	6	218
DEHA2A01782g	DEHA2A01782g	CAG84368	protein_coding	52	0	30	340	0	12	158	52	0	18	0	0	65	0	0	0	0	0	0	0	0	0	15	182
DEHA2A01804g	DEHA2A01804g	CAG84369	protein_coding	24	0	25	286	0	21	128	24	0	4	0	0	41	0	0	0	0	0	0	0	0	0	8	158
DEHA2A01826g	DEHA2A01826g	CAR65345	protein_coding	2	0	5	302	0	2	154	2	0	3	0	0	5	0	0	0	0	0	0	0	0	0	1	148
DEHA2A01848g	DEHA2A01848g	CAG84370	protein_coding	28	0	25	305	0	3	143	28	0	22	0	0	47	0	0	0	0	0	0	0	0	0	6	162
DEHA2A01870g	DEHA2A01870g	CAG84371	protein_coding	20	0	12	300	0	2	137	20	0	10	0	0	26	0	0	0	0	0	0	0	0	0	6	163
DEHA2A01892g	DEHA2A01892g	CAG84372	protein_coding	22	0	32	302	0	4	148	22	0	28	0	0	49	0	0	0	0	0	0	0	0	0	5	154
DEHA2A01914g	DEHA2A01914g	CAG84373	protein_coding	20	0	24	298	0	7	146	20	0	17	0	0	42	0	0	0	0	0	0	0	0	0	2	152
DEHA2A01936g	DEHA2A01936g	CAG84374	protein_coding	4	0	19	308	0	15	145	4	0	4	0	0	21	0	0	0	0	0	0	0	0	0	2	163
DEHA2A01958g	DEHA2A01958g	CAR65346	protein_coding	10	0	23	305	0	3	161	10	0	20	0	0	32	0	0	0	0	0	0	0	0	0	1	144
DEHA2A01980g	DEHA2A01980g	CAR65347	protein_coding	28	0	35	321	0	22	145	28	0	13	0	0	56	0	0	0	0	0	0	0	0	0	6	176
DEHA2A02002r	DEHA2A02002r	DEHA2A02002r	protein_coding	0	0	0	336	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180
DEHA2A02024g	DEHA2A02024g	CAG84379	protein_coding	27	0	42	326	0	28	160	27	0	14	0	0	64	0	0	0	0	0	0	0	0	0	5	166
DEHA2A02046g	DEHA2A02046g	CAG84380	protein_coding	13	0	39	329	0	6	152	13	0	33	0	0	51	0	0	0	0	0	0	0	0	0	1	177
DEHA2A02068g	DEHA2A02068g	CAR65348	protein_coding	5	0	3	324	0	1	175	4	0	3	0	0	7	0	0	0	0	0	1	0	0	0	0	149
DEHA2A02090g	DEHA2A02090g	CAG84381	protein_coding	16	0	9	324	0	1	144	16	0	8	0	0	24	0	0	0	0	0	0	0	0	0	1	180
DEHA2A02112g	DEHA2A02112g	CAG84382	protein_coding	40	0	34	310	0	6	149	40	0	28	0	0	69	0	0	0	0	0	0	0	0	0	5	161
DEHA2A02134g	DEHA2A02134g	CAG84383	protein_coding	10	0	20	285	0	14	149	10	0	6	0	0	28	0	0	0	0	0	0	0	0	0	2	136
DEHA2A02156g	DEHA2A02156g	CAG84384	protein_coding	17	0	51	300	0	39	151	17	0	12	0	0	62	0	0	0	0	0	0	0	0	0	6	149
DEHA2A02178g	DEHA2A02178g	CAG84385	protein_coding	12	0	9	282	0	1	140	12	0	8	0	0	16	0	0	0	0	0	0	0	0	0	5	142
DEHA2A02200g	DEHA2A02200g	CAG84386	protein_coding	14	0	24	320	0	21	144	14	0	3	0	0	33	0	0	0	0	0	0	0	0	0	5	176
DEHA2A02222g	DEHA2A02222g	CAG84387	protein_coding	27	0	41	323	0	26	140	26	0	16	0	0	56	0	0	0	0	1	0	0	1	0	11	183
DEHA2A02244g	DEHA2A02244g	CAR65349	protein_coding	76	0	114	320	0	70	140	75	0	45	0	0	166	0	0	0	0	1	0	0	1	0	22	180
DEHA2A02266g	DEHA2A02266g	CAG84389	protein_coding	37	0	37	398	0	20	189	37	0	17	0	0	63	0	0	0	0	0	0	0	0	0	11	209
DEHA2A02288g	DEHA2A02288g	CAG84390	protein_coding	16	0	10	380	0	7	181	15	0	3	0	0	22	0	0	0	0	0	1	0	0	0	3	199
DEHA2A02310g	DEHA2A02310g	CAG84391	protein_coding	12	0	7	400	0	6	184	12	0	1	0	0	15	0	0	0	0	1	0	0	1	0	3	216
DEHA2A02332g	DEHA2A02332g	CAG84392	protein_coding	8	0	5	409	0	0	222	8	0	5	0	0	11	0	0	0	0	0	0	0	0	0	2	187
DEHA2A02354g	DEHA2A02354g	CAR65350	protein_coding	49	0	57	361	0	20	183	49	0	37	0	0	81	0	0	0	0	0	0	0	0	0	25	178
DEHA2A02376g	DEHA2A02376g	CAG84394	protein_coding	28	0	38	373	0	20	206	28	0	18	0	0	43	0	0	0	0	0	0	0	0	0	23	167
DEHA2A02398g	DEHA2A02398g	CAG84395	protein_coding	26	0	6	370	0	4	215	26	0	2	0	0	23	0	0	0	0	0	0	0	0	0	8	155
DEHA2A02420g	DEHA2A02420g	CAG84396	protein_coding	18	0	14	335	0	2	146	18	0	12	0	0	28	0	0	0	0	0	0	0	0	0	4	189
DEHA2A02442g	DEHA2A02442g	CAR65351	protein_coding	10	0	24	324	0	19	183	10	0	5	0	0	33	0	0	0	0	0	0	0	0	0	1	141
DEHA2A02464g	DEHA2A02464g	CAG84398	protein_coding	26	0	32	297	0	11	130	26	0	21	0	0	54	0	0	0	0	0	0	0	0	0	4	167
DEHA2A02486g	DEHA2A02486g	CAG84399	protein_coding	3	0	7	310	0	7	160	3	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	150
DEHA2A02508g	DEHA2A02508g	CAG84400	protein_coding	32	0	38	356	0	32	150	32	0	6	0	0	59	0	0	0	0	0	0	0	0	0	9	206
DEHA2A02530g	DEHA2A02530g	CAG84401	protein_coding	4	0	5	340	0	0	213	4	0	5	0	0	8	0	0	0	0	0	0	0	0	0	1	127
DEHA2A02552g	DEHA2A02552g	CAG84402	protein_coding	39	0	20	293	0	6	159	39	0	14	0	0	50	0	0	0	0	0	0	0	0	0	9	134
DEHA2A02574g	DEHA2A02574g	CAG84403	protein_coding	5	0	2	326	0	0	163	5	0	2	0	0	5	0	0	0	0	0	0	0	0	0	2	163
DEHA2A02596g	DEHA2A02596g	CAG84404	protein_coding	48	0	64	291	0	23	136	48	0	41	0	0	77	0	0	0	0	0	0	0	0	0	34	155
DEHA2A02618g	DEHA2A02618g	CAG84405	protein_coding	0	0	0	363	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204
DEHA2A02640g	DEHA2A02640g	CAG84406	protein_coding	10	0	0	369	0	0	191	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	178
DEHA2A02662g	DEHA2A02662g	CAG84407	protein_coding	14	0	35	358	0	23	159	14	0	12	0	0	35	0	0	0	0	0	0	0	0	0	14	199
DEHA2A02684g	DEHA2A02684g	CAG84408	protein_coding	24	0	57	291	0	27	165	24	0	30	0	0	57	0	0	0	0	0	0	0	0	0	24	126
DEHA2A02706g	DEHA2A02706g	CAG84409	protein_coding	27	0	101	325	0	30	135	27	0	71	0	0	91	0	0	0	0	0	0	0	0	0	37	190
DEHA2A02728g	DEHA2A02728g	CAG84410	protein_coding	40	0	29	311	0	20	171	40	0	9	0	0	45	0	0	0	0	0	0	0	0	0	24	140
DEHA2A02750g	DEHA2A02750g	CAG84411	protein_coding	3	0	40	277	0	30	134	3	0	10	0	0	31	0	0	0	0	0	0	0	0	0	12	143
DEHA2A02772g	DEHA2A02772g	CAR65352	protein_coding	12	0	46	247	0	20	106	12	0	26	0	0	42	0	0	0	0	0	0	0	0	0	16	141
DEHA2A02794g	DEHA2A02794g	CAG84414	protein_coding	11	0	31	223	0	21	139	11	0	10	0	0	35	0	0	0	0	0	0	0	0	0	7	84
DEHA2A02816g	DEHA2A02816g	CAG84415	protein_coding	0	0	0	241	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152
DEHA2A02838g	DEHA2A02838g	CAG84418	protein_coding	36	0	34	230	0	5	122	36	0	29	0	0	58	0	0	0	0	0	0	0	1	0	12	108
DEHA2A02860g	DEHA2A02860g	CAG84419	protein_coding	7	0	8	234	0	0	141	7	0	8	0	4	15	0	0	0	0	0	0	0	0	0	0	89
DEHA2A02882g	DEHA2A02882g	CAR65353	protein_coding	32	0	26	233	0	6	133	32	0	20	0	0	48	0	0	0	0	0	0	0	0	0	10	100
DEHA2A02904g	DEHA2A02904g	CAG84421	protein_coding	28	0	32	251	0	23	106	28	0	9	0	0	52	0	0	0	0	0	0	0	0	0	8	145
DEHA2A02926g	DEHA2A02926g	CAG84422	protein_coding	16	0	15	291	0	2	150	16	0	13	0	0	28	0	0	0	0	0	0	0	0	0	3	141
DEHA2A02948g	DEHA2A02948g	CAG84423	protein_coding	0	0	1	290	0	0	136	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	154
DEHA2A02970g	DEHA2A02970g	CAR65354	protein_coding	40	0	54	289	0	12	155	40	0	42	0	0	75	0	0	0	0	0	0	0	0	0	19	134
DEHA2A02992g	DEHA2A02992g	CAG84425	protein_coding	19	0	10	306	0	1	151	19	0	9	0	3	22	0	0	0	0	0	0	0	0	0	7	152
DEHA2A03014g	DEHA2A03014g	CAG84426	protein_coding	11	0	11	309	0	2	157	11	0	9	0	0	17	0	0	0	0	0	0	0	1	0	5	152
DEHA2A03036g	DEHA2A03036g	CAG84427	protein_coding	30	0	18	299	0	8	141	30	0	10	0	0	31	0	0	0	0	0	0	0	0	0	17	158
DEHA2A03058g	DEHA2A03058g	CAG84428	protein_coding	8	0	11	299	0	3	145	8	0	8	0	0	15	0	0	0	0	0	0	0	0	0	4	154
DEHA2A03080g	DEHA2A03080g	CAG84429	protein_coding	23	0	15	304	0	5	158	23	0	10	0	0	34	0	0	0	0	0	0	0	0	0	4	146
DEHA2A03102g	DEHA2A03102g	CAR65355	protein_coding	53	0	71	284	0	57	152	53	0	14	0	0	107	0	0	0	0	0	0	0	0	0	17	132
DEHA2A03124g	DEHA2A03124g	CAR65356	protein_coding	34	0	17	321	0	4	167	34	0	13	0	0	39	0	0	0	0	0	0	0	0	0	12	154
DEHA2A03146g	DEHA2A03146g	CAG84432	protein_coding	67	0	56	297	0	21	147	67	0	35	0	0	101	0	0	0	0	0	0	0	0	0	21	150
DEHA2A03168g	DEHA2A03168g	CAG84433	protein_coding	15	0	22	309	0	9	157	15	0	13	0	0	33	0	0	0	0	0	0	0	0	0	4	152
DEHA2A03190g	DEHA2A03190g	CAG84434	protein_coding	32	0	37	315	0	25	166	32	0	12	0	0	58	0	0	0	0	0	0	0	0	0	10	149
DEHA2A03212g	DEHA2A03212g	CAG84435	protein_coding	13	0	13	336	0	12	182	13	0	1	0	0	21	0	0	0	0	0	0	0	0	0	4	154
DEHA2A03234g	DEHA2A03234g	CAG84436	protein_coding	6	0	5	304	0	2	157	6	0	3	0	0	10	0	0	0	0	0	0	0	0	0	1	147
DEHA2A03256g	DEHA2A03256g	CAG84437	protein_coding	19	0	29	286	0	16	151	19	0	13	0	0	40	0	0	0	0	0	0	0	0	0	7	135
DEHA2A03278g	DEHA2A03278g	CAG84438	protein_coding	26	0	41	284	0	29	149	26	0	12	0	0	61	0	0	0	0	0	0	0	0	0	4	135
DEHA2A03300g	DEHA2A03300g	CAG84439	protein_coding	18	0	9	293	0	4	136	18	0	5	0	0	23	0	0	0	0	0	0	0	0	0	4	157
DEHA2A03322g	DEHA2A03322g	CAG84440	protein_coding	18	0	42	286	0	40	132	18	0	2	0	0	50	0	0	0	0	0	0	0	0	0	10	154
DEHA2A03344g	DEHA2A03344g	CAG84441	protein_coding	1	0	2	286	0	0	157	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	129
DEHA2A03366g	DEHA2A03366g	CAG84442	protein_coding	37	0	39	271	0	27	122	37	0	12	0	0	61	0	0	0	0	0	0	0	0	0	15	149
DEHA2A03388g	DEHA2A03388g	CAG84443	protein_coding	42	1	47	304	0	36	142	42	0	11	0	2	82	0	0	0	0	1	0	0	0	0	6	161
DEHA2A03410g	DEHA2A03410g	CAR65357	protein_coding	3	0	13	297	0	9	153	3	0	4	0	0	11	0	0	0	0	0	0	0	0	0	5	144
DEHA2A03432g	DEHA2A03432g	CAR65358	protein_coding	4	0	9	284	0	3	135	4	0	6	0	0	11	0	0	0	0	0	0	0	0	0	2	149
DEHA2A03454g	DEHA2A03454g	CAG84444	protein_coding	15	0	28	298	0	4	139	15	0	24	0	0	40	0	0	0	0	0	0	0	0	0	3	159
DEHA2A03476g	DEHA2A03476g	CAR65359	protein_coding	17	0	38	290	0	8	137	17	0	30	0	0	47	0	0	0	0	0	0	0	0	0	8	153
DEHA2A03498g	DEHA2A03498g	CAG84446	protein_coding	4	0	4	289	0	4	143	4	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	146
DEHA2A03520g	DEHA2A03520g	CAG84447	protein_coding	47	0	36	288	0	26	137	47	0	10	0	0	72	0	0	0	0	0	0	0	0	0	11	151
DEHA2A03542g	DEHA2A03542g	CAR65360	protein_coding	21	0	26	312	0	4	177	21	0	22	0	0	41	0	0	0	0	0	0	0	0	0	6	135
DEHA2A03564g	DEHA2A03564g	CAG84449	protein_coding	28	0	30	324	0	10	178	28	0	20	0	0	49	0	0	0	0	0	0	0	0	0	9	146
DEHA2A03586g	DEHA2A03586g	CAG84450	protein_coding	17	0	63	308	0	32	148	17	0	31	0	0	72	0	0	0	0	0	0	0	0	0	8	160
DEHA2A03608g	DEHA2A03608g	CAG84451	protein_coding	21	0	43	299	0	30	177	21	0	13	0	0	54	0	0	0	0	0	0	0	0	0	10	122
DEHA2A03630g	DEHA2A03630g	CAG84452	protein_coding	18	0	39	276	0	19	176	18	0	20	0	0	50	0	0	0	0	0	0	0	0	0	7	100
DEHA2A03652g	DEHA2A03652g	CAG84453	protein_coding	43	0	27	263	0	7	121	43	0	20	0	0	57	0	0	0	0	0	0	0	0	0	13	142
DEHA2A03674g	DEHA2A03674g	CAR65361	protein_coding	18	0	18	241	0	4	136	18	0	14	0	0	25	0	0	0	0	0	0	0	0	0	11	105
DEHA2A03696g	DEHA2A03696g	CAG84455	protein_coding	69	0	45	211	0	38	118	69	0	7	0	0	103	0	0	0	0	0	0	0	0	0	11	93
DEHA2A03718g	DEHA2A03718g	CAG84456	protein_coding	22	0	33	217	0	21	138	22	0	12	0	0	42	0	0	0	0	0	0	0	0	0	13	79
