# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A01320g	DEHA2A01320g	CAG84343	protein_coding	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01342g	DEHA2A01342g	CAG84344	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
DEHA2A01364g	DEHA2A01364g	CAG84345	protein_coding	0	3	4	2	1	0	0	0	0	4	0	0	0	0	0	3	1
DEHA2A01386g	DEHA2A01386g	CAG84346	protein_coding	0	0	1	8	0	0	0	0	0	1	0	0	0	0	0	0	8
DEHA2A01408g	DEHA2A01408g	CAG84347	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
DEHA2A01430g	DEHA2A01430g	CAG84348	protein_coding	0	0	0	10	9	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01452g	DEHA2A01452g	CAR65344	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
DEHA2A01474g	DEHA2A01474g	CAG84354	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1
DEHA2A01496g	DEHA2A01496g	CAG84355	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A01518g	DEHA2A01518g	CAG84356	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01540g	DEHA2A01540g	CAG84357	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01716g	DEHA2A01716g	CAG84365	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01738g	DEHA2A01738g	CAG84366	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01760g	DEHA2A01760g	CAG84367	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DEHA2A01782g	DEHA2A01782g	CAG84368	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A01804g	DEHA2A01804g	CAG84369	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01826g	DEHA2A01826g	CAR65345	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01848g	DEHA2A01848g	CAG84370	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01870g	DEHA2A01870g	CAG84371	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01892g	DEHA2A01892g	CAG84372	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A01914g	DEHA2A01914g	CAG84373	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01936g	DEHA2A01936g	CAG84374	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01980g	DEHA2A01980g	CAR65347	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A02002r	DEHA2A02002r	DEHA2A02002r	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A02024g	DEHA2A02024g	CAG84379	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A02046g	DEHA2A02046g	CAG84380	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A02068g	DEHA2A02068g	CAR65348	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02090g	DEHA2A02090g	CAG84381	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A02112g	DEHA2A02112g	CAG84382	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02156g	DEHA2A02156g	CAG84384	protein_coding	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	18
DEHA2A02178g	DEHA2A02178g	CAG84385	protein_coding	0	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02200g	DEHA2A02200g	CAG84386	protein_coding	1	3	14	0	0	0	0	0	0	14	0	0	0	1	0	3	0
DEHA2A02222g	DEHA2A02222g	CAG84387	protein_coding	0	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02244g	DEHA2A02244g	CAR65349	protein_coding	0	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02464g	DEHA2A02464g	CAG84398	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02486g	DEHA2A02486g	CAG84399	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02508g	DEHA2A02508g	CAG84400	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
DEHA2A02530g	DEHA2A02530g	CAG84401	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1
DEHA2A02552g	DEHA2A02552g	CAG84402	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02574g	DEHA2A02574g	CAG84403	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02596g	DEHA2A02596g	CAG84404	protein_coding	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02618g	DEHA2A02618g	CAG84405	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02640g	DEHA2A02640g	CAG84406	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02662g	DEHA2A02662g	CAG84407	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02684g	DEHA2A02684g	CAG84408	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02706g	DEHA2A02706g	CAG84409	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02728g	DEHA2A02728g	CAG84410	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02750g	DEHA2A02750g	CAG84411	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02772g	DEHA2A02772g	CAR65352	protein_coding	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	1
DEHA2A02794g	DEHA2A02794g	CAG84414	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02816g	DEHA2A02816g	CAG84415	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02838g	DEHA2A02838g	CAG84418	protein_coding	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02860g	DEHA2A02860g	CAG84419	protein_coding	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02882g	DEHA2A02882g	CAR65353	protein_coding	0	1	5	1	0	0	0	0	0	5	0	0	0	0	0	1	1
DEHA2A02904g	DEHA2A02904g	CAG84421	protein_coding	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02926g	DEHA2A02926g	CAG84422	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6
DEHA2A02948g	DEHA2A02948g	CAG84423	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A02970g	DEHA2A02970g	CAR65354	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02992g	DEHA2A02992g	CAG84425	protein_coding	0	0	2	1	1	0	0	0	0	2	0	0	0	0	0	0	0
DEHA2A03014g	DEHA2A03014g	CAG84426	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A03036g	DEHA2A03036g	CAG84427	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A03058g	DEHA2A03058g	CAG84428	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A03080g	DEHA2A03080g	CAG84429	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A03102g	DEHA2A03102g	CAR65355	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A03124g	DEHA2A03124g	CAR65356	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03146g	DEHA2A03146g	CAG84432	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A03168g	DEHA2A03168g	CAG84433	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A03432g	DEHA2A03432g	CAR65358	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03454g	DEHA2A03454g	CAG84444	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03476g	DEHA2A03476g	CAR65359	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03498g	DEHA2A03498g	CAG84446	protein_coding	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0
DEHA2A03520g	DEHA2A03520g	CAG84447	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03542g	DEHA2A03542g	CAR65360	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
DEHA2A03652g	DEHA2A03652g	CAG84453	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03674g	DEHA2A03674g	CAR65361	protein_coding	1	0	1	3	3	0	0	0	0	1	0	0	0	1	0	0	0
DEHA2A03696g	DEHA2A03696g	CAG84455	protein_coding	0	0	3	2	2	0	0	0	0	3	0	0	0	0	0	0	0
DEHA2A03718g	DEHA2A03718g	CAG84456	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03740g	DEHA2A03740g	CAG84457	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A03762r	DEHA2A03762r	DEHA2A03762r	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04400g	DEHA2A04400g	CAG84468	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04422g	DEHA2A04422g	CAG84469	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04444g	DEHA2A04444g	CAG84470	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A04466g	DEHA2A04466g	CAG84471	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04488g	DEHA2A04488g	CAG84472	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04510g	DEHA2A04510g	CAG84473	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04554g	DEHA2A04554g	CAG84475	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04576g	DEHA2A04576g	CAG84476	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04598r	DEHA2A04598r	DEHA2A04598r	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04620g	DEHA2A04620g	CAG84477	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04642g	DEHA2A04642g	CAG84478	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A04664g	DEHA2A04664g	CAG84479	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04774g	DEHA2A04774g	CAG84484	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04796g	DEHA2A04796g	CAG84485	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04818g	DEHA2A04818g	CAG84486	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04840g	DEHA2A04840g	CAG84487	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A04862g	DEHA2A04862g	CAG84488	protein_coding	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	10
DEHA2A04884g	DEHA2A04884g	CAG84489	protein_coding	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04906r	DEHA2A04906r	DEHA2A04906r	protein_coding	0	0	1	10	9	0	0	0	0	1	0	0	0	0	0	0	1
DEHA2A04928g	DEHA2A04928g	CAG84490	protein_coding	1	2	6	2	2	0	0	0	0	6	0	0	0	1	0	2	0
DEHA2A04950g	DEHA2A04950g	CAG84491	protein_coding	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04972g	DEHA2A04972g	CAG84492	protein_coding	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	10
DEHA2A04994g	DEHA2A04994g	CAG84493	protein_coding	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05016g	DEHA2A05016g	CAG84494	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	9
DEHA2A05060g	DEHA2A05060g	CAG84496	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05082g	DEHA2A05082g	CAG84497	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A05104g	DEHA2A05104g	CAG84498	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05126g	DEHA2A05126g	CAG84499	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05170g	DEHA2A05170g	CAG84501	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05192g	DEHA2A05192g	CAG84502	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05214g	DEHA2A05214g	CAG84503	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A05236g	DEHA2A05236g	CAG84504	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05258g	DEHA2A05258g	CAG84505	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05280g	DEHA2A05280g	CAG84506	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05302g	DEHA2A05302g	CAG84507	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05324g	DEHA2A05324g	CAG84508	protein_coding	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0
DEHA2A05346g	DEHA2A05346g	CAG84509	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05368g	DEHA2A05368g	CAG84510	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A05390g	DEHA2A05390g	CAR65362	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05412g	DEHA2A05412g	CAG84512	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05434g	DEHA2A05434g	CAG84513	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A05456g	DEHA2A05456g	CAG84514	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05478g	DEHA2A05478g	CAR65363	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05500g	DEHA2A05500g	CAG84517	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05566g	DEHA2A05566g	CAR65364	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A05588g	DEHA2A05588g	CAG84521	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05610g	DEHA2A05610g	CAG84522	protein_coding	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DEHA2A05632g	DEHA2A05632g	CAG84523	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A05654g	DEHA2A05654g	CAG84524	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A05676g	DEHA2A05676g	CAG84525	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A05698g	DEHA2A05698g	CAG84526	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2
DEHA2A05720g	DEHA2A05720g	CAG84527	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05742g	DEHA2A05742g	CAG84528	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05764g	DEHA2A05764g	CAG84529	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05786g	DEHA2A05786g	CAG84530	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06424g	DEHA2A06424g	CAR65370	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06446g	DEHA2A06446g	CAR65371	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06468r	DEHA2A06468r	DEHA2A06468r	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06490g	DEHA2A06490g	CAG84561	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06512g	DEHA2A06512g	CAG84562	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06644g	DEHA2A06644g	CAG84568	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06666g	DEHA2A06666g	CAG84569	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06688g	DEHA2A06688g	CAG84570	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
DEHA2A06710g	DEHA2A06710g	CAG84571	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	7
DEHA2A06732g	DEHA2A06732g	CAR65374	protein_coding	2	0	5	0	0	0	0	0	0	5	0	0	0	2	0	0	0
DEHA2A06754g	DEHA2A06754g	CAR65375	protein_coding	0	0	0	29	22	0	0	0	0	0	0	0	0	0	0	0	7
DEHA2A06776g	DEHA2A06776g	CAG84575	protein_coding	0	0	0	29	7	0	0	0	0	0	0	0	0	0	0	0	22
DEHA2A06798g	DEHA2A06798g	CAG84576	protein_coding	0	1	21	0	0	0	0	0	0	21	0	0	0	0	0	1	0
DEHA2A06820g	DEHA2A06820g	CAG84577	protein_coding	0	0	0	22	22	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06842g	DEHA2A06842g	CAG84578	protein_coding	0	0	0	22	22	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06864g	DEHA2A06864g	CAG84579	protein_coding	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	22
DEHA2A07436g	DEHA2A07436g	CAG84605	protein_coding	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07458g	DEHA2A07458g	CAR65377	protein_coding	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07480g	DEHA2A07480g	CAG84608	protein_coding	0	0	10	1	1	0	0	0	0	10	0	0	0	0	0	0	0
DEHA2A07502g	DEHA2A07502g	CAR65378	protein_coding	0	0	1	10	0	0	0	0	0	1	0	0	0	0	0	0	10
DEHA2A07524g	DEHA2A07524g	CAG84610	protein_coding	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07546g	DEHA2A07546g	CAG84611	protein_coding	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07568g	DEHA2A07568g	CAR65379	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	11
DEHA2A07590g	DEHA2A07590g	CAR65380	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07766g	DEHA2A07766g	CAG84624	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07788g	DEHA2A07788g	CAR65381	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07810g	DEHA2A07810g	CAG84626	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1
DEHA2A07832g	DEHA2A07832g	CAG84627	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A07854g	DEHA2A07854g	CAG84628	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A07876g	DEHA2A07876g	CAG84629	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1
DEHA2A07920g	DEHA2A07920g	CAG84630	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A07942g	DEHA2A07942g	CAG84631	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07964g	DEHA2A07964g	CAG84632	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A07986g	DEHA2A07986g	CAG84633	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08008g	DEHA2A08008g	CAR65382	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A08030g	DEHA2A08030g	CAR65383	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08052g	DEHA2A08052g	CAG84636	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A08074g	DEHA2A08074g	CAG84637	protein_coding	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A08096g	DEHA2A08096g	CAG84638	protein_coding	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A08118g	DEHA2A08118g	CAG84639	protein_coding	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A08140g	DEHA2A08140g	CAG84640	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A08162g	DEHA2A08162g	CAG84641	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08206g	DEHA2A08206g	CAG84642	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08228g	DEHA2A08228g	CAG84643	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08250g	DEHA2A08250g	CAR65384	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08272g	DEHA2A08272g	CAR65385	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A08294g	DEHA2A08294g	CAG84645	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08316g	DEHA2A08316g	CAG84646	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08338g	DEHA2A08338g	CAG84647	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08448g	DEHA2A08448g	CAG84652	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08470g	DEHA2A08470g	CAR65386	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08492g	DEHA2A08492g	CAG84653	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
