# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A00396g	DEHA2A00396g	CAG84296	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00418g	DEHA2A00418g	CAG84297	protein_coding	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00440g	DEHA2A00440g	CAG84298	protein_coding	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A00462g	DEHA2A00462g	CAG84299	protein_coding	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00484g	DEHA2A00484g	CAG84300	protein_coding	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1
DEHA2A00506g	DEHA2A00506g	CAG84303	protein_coding	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00528g	DEHA2A00528g	CAG84304	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00550g	DEHA2A00550g	CAG84305	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00572g	DEHA2A00572g	CAG84306	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00594g	DEHA2A00594g	CAG84307	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00616g	DEHA2A00616g	CAG84308	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00638g	DEHA2A00638g	CAG84309	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00880g	DEHA2A00880g	CAG84323	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00902g	DEHA2A00902g	CAG84324	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00924r	DEHA2A00924r	DEHA2A00924r	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00946g	DEHA2A00946g	CAG84326	protein_coding	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A00968g	DEHA2A00968g	CAG84327	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00990r	DEHA2A00990r	DEHA2A00990r	protein_coding	0	0	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01012g	DEHA2A01012g	CAG84330	protein_coding	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A01034g	DEHA2A01034g	CAG84331	protein_coding	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A01056g	DEHA2A01056g	CAG84332	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A01078r	DEHA2A01078r	DEHA2A01078r	protein_coding	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01100g	DEHA2A01100g	CAG84333	protein_coding	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A01122g	DEHA2A01122g	CAG84334	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A01144g	DEHA2A01144g	CAG84335	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A01166g	DEHA2A01166g	CAG84336	protein_coding	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01188g	DEHA2A01188g	CAR65343	protein_coding	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A01210g	DEHA2A01210g	CAG84338	protein_coding	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
DEHA2A01232g	DEHA2A01232g	CAG84339	protein_coding	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01254g	DEHA2A01254g	CAG84340	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A01276g	DEHA2A01276g	CAG84341	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01320g	DEHA2A01320g	CAG84343	protein_coding	0	0	0	11	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01342g	DEHA2A01342g	CAG84344	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
DEHA2A01364g	DEHA2A01364g	CAG84345	protein_coding	0	3	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0
DEHA2A01386g	DEHA2A01386g	CAG84346	protein_coding	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11
DEHA2A01408g	DEHA2A01408g	CAG84347	protein_coding	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11
DEHA2A01430g	DEHA2A01430g	CAG84348	protein_coding	0	0	0	13	0	0	11	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A01452g	DEHA2A01452g	CAR65344	protein_coding	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2A01474g	DEHA2A01474g	CAG84354	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01496g	DEHA2A01496g	CAG84355	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01518g	DEHA2A01518g	CAG84356	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01540g	DEHA2A01540g	CAG84357	protein_coding	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A01562g	DEHA2A01562g	CAG84358	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01584g	DEHA2A01584g	CAG84359	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01606g	DEHA2A01606g	CAG84360	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
DEHA2A01628g	DEHA2A01628g	CAG84361	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01650g	DEHA2A01650g	CAG84362	protein_coding	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01672g	DEHA2A01672g	CAG84363	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A01694g	DEHA2A01694g	CAG84364	protein_coding	1	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01716g	DEHA2A01716g	CAG84365	protein_coding	0	0	2	9	0	0	8	0	0	0	0	2	0	0	0	0	0	0	1
DEHA2A01738g	DEHA2A01738g	CAG84366	protein_coding	0	0	1	9	0	0	7	0	0	0	0	1	0	0	0	0	0	0	2
DEHA2A01760g	DEHA2A01760g	CAG84367	protein_coding	0	1	2	5	0	0	0	0	0	0	0	2	0	0	0	0	0	1	5
DEHA2A01782g	DEHA2A01782g	CAG84368	protein_coding	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8
DEHA2A01804g	DEHA2A01804g	CAG84369	protein_coding	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01826g	DEHA2A01826g	CAR65345	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01848g	DEHA2A01848g	CAG84370	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A01870g	DEHA2A01870g	CAG84371	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01892g	DEHA2A01892g	CAG84372	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01914g	DEHA2A01914g	CAG84373	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01936g	DEHA2A01936g	CAG84374	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A01958g	DEHA2A01958g	CAR65346	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01980g	DEHA2A01980g	CAR65347	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02002r	DEHA2A02002r	DEHA2A02002r	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02024g	DEHA2A02024g	CAG84379	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02046g	DEHA2A02046g	CAG84380	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02068g	DEHA2A02068g	CAR65348	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02090g	DEHA2A02090g	CAG84381	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02156g	DEHA2A02156g	CAG84384	protein_coding	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
DEHA2A02178g	DEHA2A02178g	CAG84385	protein_coding	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02200g	DEHA2A02200g	CAG84386	protein_coding	0	1	9	0	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0
DEHA2A02222g	DEHA2A02222g	CAG84387	protein_coding	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02244g	DEHA2A02244g	CAR65349	protein_coding	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02596g	DEHA2A02596g	CAG84404	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02618g	DEHA2A02618g	CAG84405	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02640g	DEHA2A02640g	CAG84406	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02662g	DEHA2A02662g	CAG84407	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02684g	DEHA2A02684g	CAG84408	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02706g	DEHA2A02706g	CAG84409	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02750g	DEHA2A02750g	CAG84411	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02772g	DEHA2A02772g	CAR65352	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02794g	DEHA2A02794g	CAG84414	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02816g	DEHA2A02816g	CAG84415	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02838g	DEHA2A02838g	CAG84418	protein_coding	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02860g	DEHA2A02860g	CAG84419	protein_coding	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02882g	DEHA2A02882g	CAR65353	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
DEHA2A02904g	DEHA2A02904g	CAG84421	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02926g	DEHA2A02926g	CAG84422	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02948g	DEHA2A02948g	CAG84423	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A02970g	DEHA2A02970g	CAR65354	protein_coding	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02992g	DEHA2A02992g	CAG84425	protein_coding	0	1	2	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0
DEHA2A03014g	DEHA2A03014g	CAG84426	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A03036g	DEHA2A03036g	CAG84427	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A03058g	DEHA2A03058g	CAG84428	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A03080g	DEHA2A03080g	CAG84429	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A03102g	DEHA2A03102g	CAR65355	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03124g	DEHA2A03124g	CAR65356	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03146g	DEHA2A03146g	CAG84432	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03168g	DEHA2A03168g	CAG84433	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03388g	DEHA2A03388g	CAG84443	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03410g	DEHA2A03410g	CAR65357	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03432g	DEHA2A03432g	CAR65358	protein_coding	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03454g	DEHA2A03454g	CAG84444	protein_coding	0	0	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03476g	DEHA2A03476g	CAR65359	protein_coding	0	0	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03498g	DEHA2A03498g	CAG84446	protein_coding	0	0	6	3	0	0	2	0	0	0	0	6	0	0	0	0	0	0	1
DEHA2A03520g	DEHA2A03520g	CAG84447	protein_coding	0	0	1	7	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A03542g	DEHA2A03542g	CAR65360	protein_coding	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
DEHA2A03784g	DEHA2A03784g	CAG84460	protein_coding	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03806g	DEHA2A03806g	CAG84461	protein_coding	0	0	0	15	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04334g	DEHA2A04334g	CAG84465	protein_coding	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04356g	DEHA2A04356g	CAG84466	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04378g	DEHA2A04378g	CAG84467	protein_coding	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A04400g	DEHA2A04400g	CAG84468	protein_coding	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04422g	DEHA2A04422g	CAG84469	protein_coding	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04444g	DEHA2A04444g	CAG84470	protein_coding	0	0	1	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A04466g	DEHA2A04466g	CAG84471	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A04488g	DEHA2A04488g	CAG84472	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A04510g	DEHA2A04510g	CAG84473	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04730g	DEHA2A04730g	CAG84482	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04752g	DEHA2A04752g	CAG84483	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04774g	DEHA2A04774g	CAG84484	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A04796g	DEHA2A04796g	CAG84485	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04818g	DEHA2A04818g	CAG84486	protein_coding	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A04840g	DEHA2A04840g	CAG84487	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04862g	DEHA2A04862g	CAG84488	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04884g	DEHA2A04884g	CAG84489	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A04906r	DEHA2A04906r	DEHA2A04906r	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04928g	DEHA2A04928g	CAG84490	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04994g	DEHA2A04994g	CAG84493	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05016g	DEHA2A05016g	CAG84494	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05038g	DEHA2A05038g	CAG84495	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A05060g	DEHA2A05060g	CAG84496	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05082g	DEHA2A05082g	CAG84497	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
DEHA2A05104g	DEHA2A05104g	CAG84498	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05126g	DEHA2A05126g	CAG84499	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05280g	DEHA2A05280g	CAG84506	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05302g	DEHA2A05302g	CAG84507	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05324g	DEHA2A05324g	CAG84508	protein_coding	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
DEHA2A05346g	DEHA2A05346g	CAG84509	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05368g	DEHA2A05368g	CAG84510	protein_coding	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
DEHA2A05434g	DEHA2A05434g	CAG84513	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05456g	DEHA2A05456g	CAG84514	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05478g	DEHA2A05478g	CAR65363	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05500g	DEHA2A05500g	CAG84517	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A05522g	DEHA2A05522g	CAG84518	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05544g	DEHA2A05544g	CAG84519	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05566g	DEHA2A05566g	CAR65364	protein_coding	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A05588g	DEHA2A05588g	CAG84521	protein_coding	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05610g	DEHA2A05610g	CAG84522	protein_coding	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
DEHA2A05632g	DEHA2A05632g	CAG84523	protein_coding	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2
DEHA2A05654g	DEHA2A05654g	CAG84524	protein_coding	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A05676g	DEHA2A05676g	CAG84525	protein_coding	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A05698g	DEHA2A05698g	CAG84526	protein_coding	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A05720g	DEHA2A05720g	CAG84527	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2A05742g	DEHA2A05742g	CAG84528	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05764g	DEHA2A05764g	CAG84529	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05786g	DEHA2A05786g	CAG84530	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05808g	DEHA2A05808g	CAG84531	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05830g	DEHA2A05830g	CAG84532	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05852g	DEHA2A05852g	CAR65365	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A05874g	DEHA2A05874g	CAG84534	protein_coding	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
DEHA2A05896g	DEHA2A05896g	CAG84535	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05918g	DEHA2A05918g	CAG84536	protein_coding	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
DEHA2A05940g	DEHA2A05940g	CAG84537	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A05962g	DEHA2A05962g	CAG84538	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05984g	DEHA2A05984g	CAG84539	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06006g	DEHA2A06006g	CAG84540	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06028g	DEHA2A06028g	CAG84541	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06050g	DEHA2A06050g	CAG84542	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06072g	DEHA2A06072g	CAG84543	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2A06094g	DEHA2A06094g	CAG84544	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06116g	DEHA2A06116g	CAG84545	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06138g	DEHA2A06138g	CAG84546	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06160g	DEHA2A06160g	CAG84547	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06182g	DEHA2A06182g	CAR65366	protein_coding	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A06204g	DEHA2A06204g	CAR65367	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06226g	DEHA2A06226g	CAG84550	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06248g	DEHA2A06248g	CAG84551	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06270g	DEHA2A06270g	CAG84552	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06292g	DEHA2A06292g	CAG84553	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06314g	DEHA2A06314g	CAG84554	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06336g	DEHA2A06336g	CAR65368	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
