# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A01782g	DEHA2A01782g	CAG84368	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02596g	DEHA2A02596g	CAG84404	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02618g	DEHA2A02618g	CAG84405	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02640g	DEHA2A02640g	CAG84406	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02662g	DEHA2A02662g	CAG84407	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02684g	DEHA2A02684g	CAG84408	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02706g	DEHA2A02706g	CAG84409	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02772g	DEHA2A02772g	CAR65352	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02794g	DEHA2A02794g	CAG84414	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02816g	DEHA2A02816g	CAG84415	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02838g	DEHA2A02838g	CAG84418	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02860g	DEHA2A02860g	CAG84419	protein_coding	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02882g	DEHA2A02882g	CAR65353	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	3
DEHA2A02904g	DEHA2A02904g	CAG84421	protein_coding	0	0	1	2	2	0	0	0	0	1	0	0	0	0	0	0
DEHA2A02926g	DEHA2A02926g	CAG84422	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A02948g	DEHA2A02948g	CAG84423	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02970g	DEHA2A02970g	CAR65354	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02992g	DEHA2A02992g	CAG84425	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03014g	DEHA2A03014g	CAG84426	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03036g	DEHA2A03036g	CAG84427	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03058g	DEHA2A03058g	CAG84428	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03080g	DEHA2A03080g	CAG84429	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03102g	DEHA2A03102g	CAR65355	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A03124g	DEHA2A03124g	CAR65356	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03146g	DEHA2A03146g	CAG84432	protein_coding	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	2
DEHA2A03168g	DEHA2A03168g	CAG84433	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A03190g	DEHA2A03190g	CAG84434	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03212g	DEHA2A03212g	CAG84435	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03696g	DEHA2A03696g	CAG84455	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03718g	DEHA2A03718g	CAG84456	protein_coding	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
DEHA2A03740g	DEHA2A03740g	CAG84457	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03762r	DEHA2A03762r	DEHA2A03762r	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03784g	DEHA2A03784g	CAG84460	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03806g	DEHA2A03806g	CAG84461	protein_coding	0	0	0	16	16	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04334g	DEHA2A04334g	CAG84465	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04356g	DEHA2A04356g	CAG84466	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04378g	DEHA2A04378g	CAG84467	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04400g	DEHA2A04400g	CAG84468	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04422g	DEHA2A04422g	CAG84469	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04444g	DEHA2A04444g	CAG84470	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DEHA2A04466g	DEHA2A04466g	CAG84471	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04488g	DEHA2A04488g	CAG84472	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04510g	DEHA2A04510g	CAG84473	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04862g	DEHA2A04862g	CAG84488	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A04884g	DEHA2A04884g	CAG84489	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04906r	DEHA2A04906r	DEHA2A04906r	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04928g	DEHA2A04928g	CAG84490	protein_coding	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
DEHA2A04950g	DEHA2A04950g	CAG84491	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04972g	DEHA2A04972g	CAG84492	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A04994g	DEHA2A04994g	CAG84493	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05016g	DEHA2A05016g	CAG84494	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A05170g	DEHA2A05170g	CAG84501	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05192g	DEHA2A05192g	CAG84502	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05214g	DEHA2A05214g	CAG84503	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DEHA2A05236g	DEHA2A05236g	CAG84504	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05258g	DEHA2A05258g	CAG84505	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05918g	DEHA2A05918g	CAG84536	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05940g	DEHA2A05940g	CAG84537	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05962g	DEHA2A05962g	CAG84538	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05984g	DEHA2A05984g	CAG84539	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06006g	DEHA2A06006g	CAG84540	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06028g	DEHA2A06028g	CAG84541	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06050g	DEHA2A06050g	CAG84542	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06292g	DEHA2A06292g	CAG84553	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06314g	DEHA2A06314g	CAG84554	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06336g	DEHA2A06336g	CAR65368	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06358g	DEHA2A06358g	CAR65369	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06380g	DEHA2A06380g	CAG84557	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06754g	DEHA2A06754g	CAR65375	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06776g	DEHA2A06776g	CAG84575	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A06798g	DEHA2A06798g	CAG84576	protein_coding	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	1
DEHA2A06820g	DEHA2A06820g	CAG84577	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06842g	DEHA2A06842g	CAG84578	protein_coding	0	0	1	2	2	0	0	0	0	1	0	0	0	0	0	0
DEHA2A06864g	DEHA2A06864g	CAG84579	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A06886g	DEHA2A06886g	CAG84580	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06908g	DEHA2A06908g	CAG84581	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08074g	DEHA2A08074g	CAG84637	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08096g	DEHA2A08096g	CAG84638	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08118g	DEHA2A08118g	CAG84639	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08140g	DEHA2A08140g	CAG84640	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08162g	DEHA2A08162g	CAG84641	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09218g	DEHA2A09218g	CAG84689	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DEHA2A09240g	DEHA2A09240g	CAR65393	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09262g	DEHA2A09262g	CAG84691	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09328g	DEHA2A09328g	CAG84694	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09350g	DEHA2A09350g	CAG84695	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09372g	DEHA2A09372g	CAG84696	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09394g	DEHA2A09394g	CAG84697	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09416g	DEHA2A09416g	CAR65394	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09438g	DEHA2A09438g	CAG84701	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09460g	DEHA2A09460g	CAG84702	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09482g	DEHA2A09482g	CAG84703	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A09504g	DEHA2A09504g	CAR65395	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A09570g	DEHA2A09570g	CAG84708	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09592g	DEHA2A09592g	CAG84709	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09614g	DEHA2A09614g	CAG84710	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09636g	DEHA2A09636g	CAG84711	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09658g	DEHA2A09658g	CAG84712	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2A09680g	DEHA2A09680g	CAG84713	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09702g	DEHA2A09702g	CAR65396	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10252g	DEHA2A10252g	CAG84740	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10274g	DEHA2A10274g	CAG84741	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10296g	DEHA2A10296g	CAG84745	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A10318g	DEHA2A10318g	CAG84746	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10340g	DEHA2A10340g	CAG84747	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10780g	DEHA2A10780g	CAG84773	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A10802g	DEHA2A10802g	CAG84774	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10824g	DEHA2A10824g	CAG84775	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2A10846g	DEHA2A10846g	CAG84776	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10868g	DEHA2A10868g	CAR65402	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A10890g	DEHA2A10890g	CAG84781	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11110g	DEHA2A11110g	CAG84791	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11132g	DEHA2A11132g	CAG84792	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11154g	DEHA2A11154g	CAG84793	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11176g	DEHA2A11176g	CAR65403	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11198g	DEHA2A11198g	CAG84794	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11220g	DEHA2A11220g	CAG84795	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11242g	DEHA2A11242g	CAG84796	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11594g	DEHA2A11594g	CAG84812	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11616g	DEHA2A11616g	CAG84813	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11638g	DEHA2A11638g	CAR65405	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
DEHA2A11660g	DEHA2A11660g	CAG84814	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11682g	DEHA2A11682g	CAG84815	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11704g	DEHA2A11704g	CAG84816	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11726r	DEHA2A11726r	DEHA2A11726r	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11748r	DEHA2A11748r	DEHA2A11748r	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11770r	DEHA2A11770r	DEHA2A11770r	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11792g	DEHA2A11792g	CAG84817	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A13090g	DEHA2A13090g	CAG84875	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A13112g	DEHA2A13112g	CAG84876	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A13134g	DEHA2A13134g	CAG84877	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A13156g	DEHA2A13156g	CAG84878	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A13178g	DEHA2A13178g	CAG84879	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A13640g	DEHA2A13640g	CAG84900	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A13662g	DEHA2A13662g	CAG84901	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A13684g	DEHA2A13684g	CAG84902	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A13706g	DEHA2A13706g	CAG84903	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A13728g	DEHA2A13728g	CAG84904	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A13750g	DEHA2A13750g	CAG84905	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A14212g	DEHA2A14212g	CAG84926	protein_coding	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14234g	DEHA2A14234g	CAG84927	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	9
DEHA2A14256g	DEHA2A14256g	CAG84928	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	9
DEHA2A14278g	DEHA2A14278g	CAG84930	protein_coding	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14300g	DEHA2A14300g	CAR65415	protein_coding	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14608g	DEHA2A14608g	CAG84940	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	19
DEHA2A14630g	DEHA2A14630g	CAR65418	protein_coding	0	0	0	19	19	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14652g	DEHA2A14652g	CAG84941	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	19
DEHA2A14674g	DEHA2A14674g	CAR65419	protein_coding	0	6	5	8	8	0	0	0	0	5	0	0	0	0	6	0
DEHA2A14696g	DEHA2A14696g	CAG84942	protein_coding	0	0	0	35	16	0	0	0	0	0	0	0	0	0	0	19
DEHA2A14718g	DEHA2A14718g	CAG84944	protein_coding	0	0	0	16	9	0	0	0	0	0	0	0	0	0	0	7
DEHA2A14740g	DEHA2A14740g	CAG84946	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14762g	DEHA2A14762g	CAG84947	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14806g	DEHA2A14806g	CAG84949	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14828g	DEHA2A14828g	CAG84950	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00110g	DEHA2B00110g	CAR65420	protein_coding	1	0	0	8	6	1	0	0	0	0	0	0	0	0	0	2
DEHA2B00132g	DEHA2B00132g	CAR65421	protein_coding	0	0	1	17	3	0	0	0	0	1	0	0	0	0	0	14
DEHA2B00154g	DEHA2B00154g	CAG84953	protein_coding	0	0	0	18	5	0	0	0	0	0	0	0	0	0	0	13
DEHA2B00176g	DEHA2B00176g	CAG84954	protein_coding	0	0	0	17	8	0	0	0	0	0	0	0	0	0	0	9
DEHA2B00198g	DEHA2B00198g	CAG84956	protein_coding	0	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00220g	DEHA2B00220g	CAG84957	protein_coding	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00550g	DEHA2B00550g	CAG84973	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00572g	DEHA2B00572g	CAG84974	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00594g	DEHA2B00594g	CAG84975	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2B00616g	DEHA2B00616g	CAG84976	protein_coding	1	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0
DEHA2B00638g	DEHA2B00638g	CAG84980	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2B00770g	DEHA2B00770g	CAG84986	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00792g	DEHA2B00792g	CAG84987	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00814g	DEHA2B00814g	CAG84988	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00836g	DEHA2B00836g	CAG84989	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00858g	DEHA2B00858g	CAG84990	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2B00880g	DEHA2B00880g	CAG84991	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B00902g	DEHA2B00902g	CAG84992	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B00924g	DEHA2B00924g	CAG84993	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B01430g	DEHA2B01430g	CAG85014	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2B01452g	DEHA2B01452g	CAR65428	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0
DEHA2B02222g	DEHA2B02222g	CAG85050	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0
DEHA2B02244g	DEHA2B02244g	CAR65433	protein_coding	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0
DEHA2B02266g	DEHA2B02266g	CAG85053	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2B02288g	DEHA2B02288g	CAG85054	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0
DEHA2B03300g	DEHA2B03300g	CAG85099	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2B03322g	DEHA2B03322g	CAG85100	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2B03344g	DEHA2B03344g	CAG85101	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2B03366g	DEHA2B03366g	CAG85102	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B03388g	DEHA2B03388g	CAG85103	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B03410g	DEHA2B03410g	CAG85104	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
