# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A02222g	DEHA2A02222g	CAG84387	protein_coding	0	0	0	17	0	17	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02244g	DEHA2A02244g	CAR65349	protein_coding	0	0	0	17	0	17	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02464g	DEHA2A02464g	CAG84398	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02486g	DEHA2A02486g	CAG84399	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02508g	DEHA2A02508g	CAG84400	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A02530g	DEHA2A02530g	CAG84401	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02552g	DEHA2A02552g	CAG84402	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02574g	DEHA2A02574g	CAG84403	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02596g	DEHA2A02596g	CAG84404	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02618g	DEHA2A02618g	CAG84405	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02640g	DEHA2A02640g	CAG84406	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02662g	DEHA2A02662g	CAG84407	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02684g	DEHA2A02684g	CAG84408	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02706g	DEHA2A02706g	CAG84409	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02948g	DEHA2A02948g	CAG84423	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A02970g	DEHA2A02970g	CAR65354	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02992g	DEHA2A02992g	CAG84425	protein_coding	0	0	2	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0
DEHA2A03014g	DEHA2A03014g	CAG84426	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A03036g	DEHA2A03036g	CAG84427	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A03058g	DEHA2A03058g	CAG84428	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A03080g	DEHA2A03080g	CAG84429	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A03432g	DEHA2A03432g	CAR65358	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03454g	DEHA2A03454g	CAG84444	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03476g	DEHA2A03476g	CAR65359	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03498g	DEHA2A03498g	CAG84446	protein_coding	0	1	5	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0
DEHA2A03520g	DEHA2A03520g	CAG84447	protein_coding	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03542g	DEHA2A03542g	CAR65360	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6
DEHA2A03652g	DEHA2A03652g	CAG84453	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03674g	DEHA2A03674g	CAR65361	protein_coding	0	0	1	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A03696g	DEHA2A03696g	CAG84455	protein_coding	0	0	3	2	0	1	0	0	0	0	3	0	0	0	0	0	0	1
DEHA2A03718g	DEHA2A03718g	CAG84456	protein_coding	1	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03740g	DEHA2A03740g	CAG84457	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A03762r	DEHA2A03762r	DEHA2A03762r	protein_coding	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03784g	DEHA2A03784g	CAG84460	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03806g	DEHA2A03806g	CAG84461	protein_coding	0	0	0	14	0	14	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04400g	DEHA2A04400g	CAG84468	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04422g	DEHA2A04422g	CAG84469	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04444g	DEHA2A04444g	CAG84470	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DEHA2A04466g	DEHA2A04466g	CAG84471	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A04488g	DEHA2A04488g	CAG84472	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A04510g	DEHA2A04510g	CAG84473	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A05060g	DEHA2A05060g	CAG84496	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05082g	DEHA2A05082g	CAG84497	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A05104g	DEHA2A05104g	CAG84498	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05126g	DEHA2A05126g	CAG84499	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05280g	DEHA2A05280g	CAG84506	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05302g	DEHA2A05302g	CAG84507	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05324g	DEHA2A05324g	CAG84508	protein_coding	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
DEHA2A05346g	DEHA2A05346g	CAG84509	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05368g	DEHA2A05368g	CAG84510	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A05390g	DEHA2A05390g	CAR65362	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05412g	DEHA2A05412g	CAG84512	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05434g	DEHA2A05434g	CAG84513	protein_coding	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A05456g	DEHA2A05456g	CAG84514	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05478g	DEHA2A05478g	CAR65363	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05500g	DEHA2A05500g	CAG84517	protein_coding	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A05522g	DEHA2A05522g	CAG84518	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05544g	DEHA2A05544g	CAG84519	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A05566g	DEHA2A05566g	CAR65364	protein_coding	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A05588g	DEHA2A05588g	CAG84521	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05610g	DEHA2A05610g	CAG84522	protein_coding	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
DEHA2A05632g	DEHA2A05632g	CAG84523	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A05654g	DEHA2A05654g	CAG84524	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A05676g	DEHA2A05676g	CAG84525	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A05698g	DEHA2A05698g	CAG84526	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A06292g	DEHA2A06292g	CAG84553	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06314g	DEHA2A06314g	CAG84554	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06336g	DEHA2A06336g	CAR65368	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06358g	DEHA2A06358g	CAR65369	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06380g	DEHA2A06380g	CAG84557	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06776g	DEHA2A06776g	CAG84575	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06798g	DEHA2A06798g	CAG84576	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06820g	DEHA2A06820g	CAG84577	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06842g	DEHA2A06842g	CAG84578	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A06864g	DEHA2A06864g	CAG84579	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06886g	DEHA2A06886g	CAG84580	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06908g	DEHA2A06908g	CAG84581	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A07436g	DEHA2A07436g	CAG84605	protein_coding	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07458g	DEHA2A07458g	CAR65377	protein_coding	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07480g	DEHA2A07480g	CAG84608	protein_coding	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
DEHA2A07502g	DEHA2A07502g	CAR65378	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9
DEHA2A07524g	DEHA2A07524g	CAG84610	protein_coding	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07546g	DEHA2A07546g	CAG84611	protein_coding	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07568g	DEHA2A07568g	CAR65379	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	9
DEHA2A07766g	DEHA2A07766g	CAG84624	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07788g	DEHA2A07788g	CAR65381	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07810g	DEHA2A07810g	CAG84626	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2A07832g	DEHA2A07832g	CAG84627	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A07854g	DEHA2A07854g	CAG84628	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A07876g	DEHA2A07876g	CAG84629	protein_coding	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A07920g	DEHA2A07920g	CAG84630	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07942g	DEHA2A07942g	CAG84631	protein_coding	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
DEHA2A07964g	DEHA2A07964g	CAG84632	protein_coding	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A07986g	DEHA2A07986g	CAG84633	protein_coding	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A08008g	DEHA2A08008g	CAR65382	protein_coding	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A08030g	DEHA2A08030g	CAR65383	protein_coding	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A08052g	DEHA2A08052g	CAG84636	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A08074g	DEHA2A08074g	CAG84637	protein_coding	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08096g	DEHA2A08096g	CAG84638	protein_coding	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A08118g	DEHA2A08118g	CAG84639	protein_coding	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A08140g	DEHA2A08140g	CAG84640	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08162g	DEHA2A08162g	CAG84641	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08338g	DEHA2A08338g	CAG84647	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08360g	DEHA2A08360g	CAG84648	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08382g	DEHA2A08382g	CAG84649	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08404g	DEHA2A08404g	CAG84650	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A08426g	DEHA2A08426g	CAG84651	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08448g	DEHA2A08448g	CAG84652	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08470g	DEHA2A08470g	CAR65386	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08492g	DEHA2A08492g	CAG84653	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08734g	DEHA2A08734g	CAG84664	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08756g	DEHA2A08756g	CAG84665	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A08778g	DEHA2A08778g	CAG84666	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
DEHA2A08800g	DEHA2A08800g	CAG84667	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09218g	DEHA2A09218g	CAG84689	protein_coding	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A09240g	DEHA2A09240g	CAR65393	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09262g	DEHA2A09262g	CAG84691	protein_coding	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09284g	DEHA2A09284g	CAG84692	protein_coding	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09306g	DEHA2A09306g	CAG84693	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09328g	DEHA2A09328g	CAG84694	protein_coding	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09350g	DEHA2A09350g	CAG84695	protein_coding	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A09372g	DEHA2A09372g	CAG84696	protein_coding	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A09394g	DEHA2A09394g	CAG84697	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A09416g	DEHA2A09416g	CAR65394	protein_coding	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A09438g	DEHA2A09438g	CAG84701	protein_coding	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09460g	DEHA2A09460g	CAG84702	protein_coding	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09482g	DEHA2A09482g	CAG84703	protein_coding	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A09504g	DEHA2A09504g	CAR65395	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A09526g	DEHA2A09526g	CAG84706	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09548g	DEHA2A09548g	CAG84707	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09570g	DEHA2A09570g	CAG84708	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09592g	DEHA2A09592g	CAG84709	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A09614g	DEHA2A09614g	CAG84710	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09636g	DEHA2A09636g	CAG84711	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A09658g	DEHA2A09658g	CAG84712	protein_coding	0	3	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3	1
DEHA2A09680g	DEHA2A09680g	CAG84713	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A09702g	DEHA2A09702g	CAR65396	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09746g	DEHA2A09746g	CAG84716	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09768g	DEHA2A09768g	CAG84717	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09790g	DEHA2A09790g	CAG84718	protein_coding	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
DEHA2A09812g	DEHA2A09812g	CAR65398	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09834g	DEHA2A09834g	CAG84720	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2A09856g	DEHA2A09856g	CAG84721	protein_coding	0	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09966g	DEHA2A09966g	CAG84727	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A09988g	DEHA2A09988g	CAG84728	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A10010g	DEHA2A10010g	CAG84729	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10032g	DEHA2A10032g	CAG84730	protein_coding	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
DEHA2A10054g	DEHA2A10054g	CAG84731	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A10076g	DEHA2A10076g	CAG84732	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
