# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A01364g	DEHA2A01364g	CAG84345	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A01386g	DEHA2A01386g	CAG84346	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01408g	DEHA2A01408g	CAG84347	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01430g	DEHA2A01430g	CAG84348	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01452g	DEHA2A01452g	CAR65344	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2A01474g	DEHA2A01474g	CAG84354	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A01496g	DEHA2A01496g	CAG84355	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02398g	DEHA2A02398g	CAG84395	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02420g	DEHA2A02420g	CAG84396	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02442g	DEHA2A02442g	CAR65351	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02464g	DEHA2A02464g	CAG84398	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02486g	DEHA2A02486g	CAG84399	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02508g	DEHA2A02508g	CAG84400	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02530g	DEHA2A02530g	CAG84401	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02552g	DEHA2A02552g	CAG84402	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02596g	DEHA2A02596g	CAG84404	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02618g	DEHA2A02618g	CAG84405	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02640g	DEHA2A02640g	CAG84406	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02662g	DEHA2A02662g	CAG84407	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02684g	DEHA2A02684g	CAG84408	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02706g	DEHA2A02706g	CAG84409	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02838g	DEHA2A02838g	CAG84418	protein_coding	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02860g	DEHA2A02860g	CAG84419	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02882g	DEHA2A02882g	CAR65353	protein_coding	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A02904g	DEHA2A02904g	CAG84421	protein_coding	0	0	1	3	3	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A02926g	DEHA2A02926g	CAG84422	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A02948g	DEHA2A02948g	CAG84423	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A02970g	DEHA2A02970g	CAR65354	protein_coding	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A02992g	DEHA2A02992g	CAG84425	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03014g	DEHA2A03014g	CAG84426	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A03036g	DEHA2A03036g	CAG84427	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A03058g	DEHA2A03058g	CAG84428	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A03080g	DEHA2A03080g	CAG84429	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A03102g	DEHA2A03102g	CAR65355	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03124g	DEHA2A03124g	CAR65356	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03146g	DEHA2A03146g	CAG84432	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03168g	DEHA2A03168g	CAG84433	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A03784g	DEHA2A03784g	CAG84460	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A03806g	DEHA2A03806g	CAG84461	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04400g	DEHA2A04400g	CAG84468	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04422g	DEHA2A04422g	CAG84469	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04444g	DEHA2A04444g	CAG84470	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A04466g	DEHA2A04466g	CAG84471	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04488g	DEHA2A04488g	CAG84472	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04510g	DEHA2A04510g	CAG84473	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04862g	DEHA2A04862g	CAG84488	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04884g	DEHA2A04884g	CAG84489	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04906r	DEHA2A04906r	DEHA2A04906r	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04928g	DEHA2A04928g	CAG84490	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2A04950g	DEHA2A04950g	CAG84491	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A04972g	DEHA2A04972g	CAG84492	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A04994g	DEHA2A04994g	CAG84493	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A05016g	DEHA2A05016g	CAG84494	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06292g	DEHA2A06292g	CAG84553	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06314g	DEHA2A06314g	CAG84554	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06336g	DEHA2A06336g	CAR65368	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06358g	DEHA2A06358g	CAR65369	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06380g	DEHA2A06380g	CAG84557	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06754g	DEHA2A06754g	CAR65375	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06776g	DEHA2A06776g	CAG84575	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A06798g	DEHA2A06798g	CAG84576	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A06820g	DEHA2A06820g	CAG84577	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06842g	DEHA2A06842g	CAG84578	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A06864g	DEHA2A06864g	CAG84579	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A07810g	DEHA2A07810g	CAG84626	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A07832g	DEHA2A07832g	CAG84627	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07854g	DEHA2A07854g	CAG84628	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A07876g	DEHA2A07876g	CAG84629	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A07920g	DEHA2A07920g	CAG84630	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A07942g	DEHA2A07942g	CAG84631	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08140g	DEHA2A08140g	CAG84640	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08162g	DEHA2A08162g	CAG84641	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08206g	DEHA2A08206g	CAG84642	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08228g	DEHA2A08228g	CAG84643	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08250g	DEHA2A08250g	CAR65384	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08272g	DEHA2A08272g	CAR65385	protein_coding	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1
DEHA2A08294g	DEHA2A08294g	CAG84645	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08316g	DEHA2A08316g	CAG84646	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08338g	DEHA2A08338g	CAG84647	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08448g	DEHA2A08448g	CAG84652	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08470g	DEHA2A08470g	CAR65386	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08492g	DEHA2A08492g	CAG84653	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08514g	DEHA2A08514g	CAG84654	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A08536g	DEHA2A08536g	CAG84655	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08558g	DEHA2A08558g	CAG84656	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08580g	DEHA2A08580g	CAG84657	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A08602g	DEHA2A08602g	CAG84658	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09328g	DEHA2A09328g	CAG84694	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09350g	DEHA2A09350g	CAG84695	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09372g	DEHA2A09372g	CAG84696	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09394g	DEHA2A09394g	CAG84697	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09416g	DEHA2A09416g	CAR65394	protein_coding	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A09438g	DEHA2A09438g	CAG84701	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09460g	DEHA2A09460g	CAG84702	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A09482g	DEHA2A09482g	CAG84703	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A09504g	DEHA2A09504g	CAR65395	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A10296g	DEHA2A10296g	CAG84745	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10318g	DEHA2A10318g	CAG84746	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A10340g	DEHA2A10340g	CAG84747	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10362g	DEHA2A10362g	CAG84748	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10780g	DEHA2A10780g	CAG84773	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A10802g	DEHA2A10802g	CAG84774	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10824g	DEHA2A10824g	CAG84775	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2A10846g	DEHA2A10846g	CAG84776	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A10868g	DEHA2A10868g	CAR65402	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A10890g	DEHA2A10890g	CAG84781	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11110g	DEHA2A11110g	CAG84791	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11132g	DEHA2A11132g	CAG84792	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11154g	DEHA2A11154g	CAG84793	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11176g	DEHA2A11176g	CAR65403	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11198g	DEHA2A11198g	CAG84794	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11220g	DEHA2A11220g	CAG84795	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11242g	DEHA2A11242g	CAG84796	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11594g	DEHA2A11594g	CAG84812	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11616g	DEHA2A11616g	CAG84813	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11638g	DEHA2A11638g	CAR65405	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DEHA2A11660g	DEHA2A11660g	CAG84814	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11682g	DEHA2A11682g	CAG84815	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11704g	DEHA2A11704g	CAG84816	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A11726r	DEHA2A11726r	DEHA2A11726r	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11748r	DEHA2A11748r	DEHA2A11748r	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11770r	DEHA2A11770r	DEHA2A11770r	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A11792g	DEHA2A11792g	CAG84817	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A13090g	DEHA2A13090g	CAG84875	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A13112g	DEHA2A13112g	CAG84876	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A13134g	DEHA2A13134g	CAG84877	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A13156g	DEHA2A13156g	CAG84878	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A13178g	DEHA2A13178g	CAG84879	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
DEHA2A14586g	DEHA2A14586g	CAG84939	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14608g	DEHA2A14608g	CAG84940	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2A14630g	DEHA2A14630g	CAR65418	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14652g	DEHA2A14652g	CAG84941	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14674g	DEHA2A14674g	CAR65419	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14696g	DEHA2A14696g	CAG84942	protein_coding	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14718g	DEHA2A14718g	CAG84944	protein_coding	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	9
DEHA2A14740g	DEHA2A14740g	CAG84946	protein_coding	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14762g	DEHA2A14762g	CAG84947	protein_coding	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14806g	DEHA2A14806g	CAG84949	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A14828g	DEHA2A14828g	CAG84950	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00110g	DEHA2B00110g	CAR65420	protein_coding	1	1	0	10	7	1	0	0	0	0	0	0	0	0	0	1	3
DEHA2B00132g	DEHA2B00132g	CAR65421	protein_coding	0	0	0	16	5	0	0	0	0	0	0	0	0	0	0	0	11
DEHA2B00154g	DEHA2B00154g	CAG84953	protein_coding	0	0	0	16	8	0	0	0	0	0	0	0	0	0	0	0	8
DEHA2B00176g	DEHA2B00176g	CAG84954	protein_coding	0	0	0	15	10	0	0	0	0	0	0	0	0	0	0	0	5
DEHA2B00198g	DEHA2B00198g	CAG84956	protein_coding	0	0	0	12	11	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B00220g	DEHA2B00220g	CAG84957	protein_coding	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00242g	DEHA2B00242g	CAR65422	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B00264g	DEHA2B00264g	CAG84958	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B00770g	DEHA2B00770g	CAG84986	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00792g	DEHA2B00792g	CAG84987	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00814g	DEHA2B00814g	CAG84988	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00836g	DEHA2B00836g	CAG84989	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B00858g	DEHA2B00858g	CAG84990	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2B00880g	DEHA2B00880g	CAG84991	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B00902g	DEHA2B00902g	CAG84992	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B00924g	DEHA2B00924g	CAG84993	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B02464g	DEHA2B02464g	CAG85063	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B02486g	DEHA2B02486g	CAG85064	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B02508g	DEHA2B02508g	CAG85065	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2B02530g	DEHA2B02530g	CAG85066	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B02552g	DEHA2B02552g	CAG85067	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B02574g	DEHA2B02574g	CAG85068	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DEHA2B02596g	DEHA2B02596g	CAG85069	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B02618g	DEHA2B02618g	CAG85070	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B03564g	DEHA2B03564g	CAG85112	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B03586g	DEHA2B03586g	CAR65442	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B03608g	DEHA2B03608g	CAG85114	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2B03630g	DEHA2B03630g	CAR65443	protein_coding	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B03652g	DEHA2B03652g	CAR65444	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B03674g	DEHA2B03674g	CAR65445	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4
DEHA2B03696g	DEHA2B03696g	CAG85116	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B03718g	DEHA2B03718g	CAG85117	protein_coding	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B04312g	DEHA2B04312g	CAR65449	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B04334g	DEHA2B04334g	CAG85144	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B04356g	DEHA2B04356g	CAG85145	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B04378g	DEHA2B04378g	CAG85146	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2B04400g	DEHA2B04400g	CAG85147	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B04554g	DEHA2B04554g	CAG85154	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B04576g	DEHA2B04576g	CAG85155	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2B04598g	DEHA2B04598g	CAG85156	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
