# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_inframe_deletion	variants_effect_inframe_insertion	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
DEHA2A00352g	DEHA2A00352g	CAG84291	protein_coding	0	0	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00374g	DEHA2A00374g	CAG84295	protein_coding	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00396g	DEHA2A00396g	CAG84296	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00440g	DEHA2A00440g	CAG84298	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DEHA2A00462g	DEHA2A00462g	CAG84299	protein_coding	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A00484g	DEHA2A00484g	CAG84300	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A00506g	DEHA2A00506g	CAG84303	protein_coding	0	0	0	56	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
DEHA2A00528g	DEHA2A00528g	CAG84304	protein_coding	0	0	0	92	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
DEHA2A00550g	DEHA2A00550g	CAG84305	protein_coding	0	0	1	153	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	150
DEHA2A00572g	DEHA2A00572g	CAG84306	protein_coding	0	30	9	174	0	0	22	0	0	0	0	0	9	0	0	0	0	0	0	0	0	30	152
DEHA2A00594g	DEHA2A00594g	CAG84307	protein_coding	0	26	21	227	0	0	83	0	0	0	0	0	21	0	0	0	0	0	0	0	0	26	144
DEHA2A00616g	DEHA2A00616g	CAG84308	protein_coding	0	16	15	302	0	0	138	0	0	0	0	0	15	0	0	0	0	0	0	0	0	16	164
DEHA2A00638g	DEHA2A00638g	CAG84309	protein_coding	0	23	18	309	0	0	162	0	0	0	0	0	18	0	0	0	0	0	0	0	0	23	147
DEHA2A00660g	DEHA2A00660g	CAG84310	protein_coding	0	12	15	303	0	0	161	0	0	0	0	0	15	0	0	0	0	0	0	0	0	12	142
DEHA2A00682g	DEHA2A00682g	CAG84311	protein_coding	0	20	22	322	0	0	171	0	0	0	0	0	22	0	0	0	0	0	0	0	0	20	151
DEHA2A00704g	DEHA2A00704g	CAG84312	protein_coding	0	23	13	328	0	0	167	0	0	0	0	0	13	0	0	0	0	0	0	0	0	23	161
DEHA2A00726g	DEHA2A00726g	CAG84313	protein_coding	0	36	28	325	0	0	161	0	0	0	0	0	28	0	0	0	0	0	0	0	0	36	164
DEHA2A00748g	DEHA2A00748g	CAR65342	protein_coding	0	38	9	307	1	0	155	0	0	0	0	0	8	0	0	0	1	0	0	0	1	37	152
DEHA2A00770g	DEHA2A00770g	CAG84318	protein_coding	0	9	13	317	0	0	166	0	0	0	0	0	13	0	0	0	0	0	0	0	0	9	151
DEHA2A00792g	DEHA2A00792g	CAG84319	protein_coding	0	34	7	306	0	0	145	0	0	0	0	0	7	0	0	0	0	0	0	0	0	34	161
DEHA2A00814g	DEHA2A00814g	CAG84320	protein_coding	0	25	5	290	0	0	154	0	0	0	0	0	5	0	0	0	1	0	0	0	1	24	136
DEHA2A00836g	DEHA2A00836g	CAG84321	protein_coding	0	28	11	259	0	0	116	0	0	0	0	0	11	0	0	0	1	0	0	0	1	27	143
DEHA2A00858g	DEHA2A00858g	CAG84322	protein_coding	0	28	14	301	0	0	155	0	0	0	0	0	14	0	0	0	0	0	0	0	0	28	146
DEHA2A00880g	DEHA2A00880g	CAG84323	protein_coding	2	30	12	307	1	0	134	1	0	1	0	0	11	0	0	0	0	1	0	0	0	30	173
DEHA2A00902g	DEHA2A00902g	CAG84324	protein_coding	0	14	5	273	0	0	158	0	0	0	0	0	5	0	0	0	0	0	0	0	0	14	115
DEHA2A00924r	DEHA2A00924r	DEHA2A00924r	protein_coding	0	0	0	276	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159
DEHA2A00946g	DEHA2A00946g	CAG84326	protein_coding	0	27	17	256	1	1	99	0	1	1	0	0	13	0	0	0	0	0	0	0	0	28	157
DEHA2A00968g	DEHA2A00968g	CAG84327	protein_coding	1	7	9	253	0	0	170	0	0	0	0	0	9	0	0	0	0	0	1	0	0	7	83
DEHA2A00990r	DEHA2A00990r	DEHA2A00990r	protein_coding	0	0	0	276	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151
DEHA2A01012g	DEHA2A01012g	CAG84330	protein_coding	0	5	9	256	0	0	137	0	0	0	0	0	9	0	0	0	0	0	0	0	0	5	119
DEHA2A01034g	DEHA2A01034g	CAG84331	protein_coding	0	39	7	259	0	0	97	0	0	0	0	2	7	0	0	0	0	0	0	0	0	39	160
DEHA2A01056g	DEHA2A01056g	CAG84332	protein_coding	0	22	13	215	0	0	121	0	0	0	0	0	13	0	0	0	0	0	0	0	0	22	94
DEHA2A01078r	DEHA2A01078r	DEHA2A01078r	protein_coding	0	0	0	232	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115
DEHA2A01100g	DEHA2A01100g	CAG84333	protein_coding	0	53	34	194	1	1	57	0	0	1	0	0	31	0	0	0	0	0	0	0	0	53	137
DEHA2A01122g	DEHA2A01122g	CAG84334	protein_coding	0	0	0	216	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81
DEHA2A01144g	DEHA2A01144g	CAG84335	protein_coding	0	23	9	193	0	0	103	0	0	0	0	0	9	0	0	0	0	0	0	0	0	23	90
DEHA2A01166g	DEHA2A01166g	CAG84336	protein_coding	0	0	0	181	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93
DEHA2A01188g	DEHA2A01188g	CAR65343	protein_coding	0	0	0	186	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
DEHA2A01210g	DEHA2A01210g	CAG84338	protein_coding	0	19	10	190	0	0	131	0	0	0	0	0	10	0	0	0	0	0	0	0	0	19	59
DEHA2A01232g	DEHA2A01232g	CAG84339	protein_coding	1	7	1	221	0	0	95	1	0	0	0	0	1	0	0	0	1	0	0	1	0	7	126
DEHA2A01254g	DEHA2A01254g	CAG84340	protein_coding	0	50	31	240	0	0	147	0	0	0	0	0	31	0	0	0	0	0	0	0	0	50	93
DEHA2A01276g	DEHA2A01276g	CAG84341	protein_coding	0	20	9	274	0	0	137	0	0	0	0	0	9	0	0	0	0	0	0	0	0	20	137
DEHA2A01298g	DEHA2A01298g	CAG84342	protein_coding	1	25	8	250	0	0	126	0	0	1	0	0	7	0	0	0	0	0	1	0	0	25	124
DEHA2A01320g	DEHA2A01320g	CAG84343	protein_coding	0	13	15	240	0	0	106	0	0	0	0	0	15	0	0	0	0	0	0	0	0	13	134
DEHA2A01342g	DEHA2A01342g	CAG84344	protein_coding	0	32	16	257	1	0	143	0	0	0	0	4	15	0	0	0	0	0	0	0	0	32	110
DEHA2A01364g	DEHA2A01364g	CAG84345	protein_coding	0	31	10	280	0	0	136	0	0	0	0	0	10	0	0	0	0	0	0	0	0	31	144
DEHA2A01386g	DEHA2A01386g	CAG84346	protein_coding	0	0	1	262	0	0	149	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	113
DEHA2A01408g	DEHA2A01408g	CAG84347	protein_coding	0	22	4	265	0	0	160	0	0	0	0	0	4	0	0	0	0	0	0	0	0	22	105
DEHA2A01430g	DEHA2A01430g	CAG84348	protein_coding	0	5	15	264	0	0	103	0	0	0	0	0	15	0	0	0	0	0	0	0	0	5	161
DEHA2A01452g	DEHA2A01452g	CAR65344	protein_coding	0	38	31	303	0	0	151	0	3	1	0	0	27	0	0	0	0	0	0	0	0	38	152
DEHA2A01474g	DEHA2A01474g	CAG84354	protein_coding	0	22	8	288	0	0	125	0	0	0	0	0	8	0	0	0	0	0	0	0	0	22	163
DEHA2A01496g	DEHA2A01496g	CAG84355	protein_coding	1	5	2	286	0	0	133	1	0	0	0	0	2	0	0	0	0	0	0	0	0	5	153
DEHA2A01518g	DEHA2A01518g	CAG84356	protein_coding	0	22	3	287	0	0	136	0	0	0	0	0	3	0	0	0	0	0	0	0	0	22	151
DEHA2A01540g	DEHA2A01540g	CAG84357	protein_coding	0	36	8	272	0	0	146	0	0	0	0	0	8	0	0	0	0	0	0	0	0	36	126
DEHA2A01562g	DEHA2A01562g	CAG84358	protein_coding	0	23	13	248	0	0	130	0	0	0	0	0	13	0	0	0	0	0	0	0	0	23	118
DEHA2A01584g	DEHA2A01584g	CAG84359	protein_coding	0	13	16	228	0	0	106	0	0	0	0	0	16	0	0	0	0	0	0	0	0	13	122
DEHA2A01606g	DEHA2A01606g	CAG84360	protein_coding	0	25	8	253	0	0	109	0	0	0	0	0	8	0	0	0	0	0	0	0	0	25	144
DEHA2A01628g	DEHA2A01628g	CAG84361	protein_coding	0	38	11	303	0	0	144	0	1	0	0	0	10	0	0	0	0	0	0	0	0	38	159
DEHA2A01650g	DEHA2A01650g	CAG84362	protein_coding	0	5	5	271	0	0	155	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	116
DEHA2A01672g	DEHA2A01672g	CAG84363	protein_coding	0	4	0	269	0	0	109	0	0	0	0	4	0	0	0	0	1	0	0	0	0	3	157
DEHA2A01694g	DEHA2A01694g	CAG84364	protein_coding	1	10	2	282	0	0	149	1	0	0	0	0	2	0	0	0	0	1	0	0	0	10	133
DEHA2A01716g	DEHA2A01716g	CAG84365	protein_coding	0	91	67	272	0	0	132	0	1	0	0	0	67	0	0	0	0	0	0	0	0	91	140
DEHA2A01738g	DEHA2A01738g	CAG84366	protein_coding	0	24	32	275	0	0	124	0	0	0	0	0	32	0	0	0	0	0	0	0	0	24	151
DEHA2A01760g	DEHA2A01760g	CAG84367	protein_coding	0	19	4	304	0	0	143	0	0	0	0	0	4	0	0	0	0	0	0	0	0	19	161
DEHA2A01782g	DEHA2A01782g	CAG84368	protein_coding	0	41	32	287	1	0	150	0	0	0	0	0	31	0	0	0	0	0	0	0	0	41	137
DEHA2A01804g	DEHA2A01804g	CAG84369	protein_coding	0	30	12	260	0	0	112	0	0	1	0	0	11	0	0	0	0	0	0	0	0	30	148
DEHA2A01826g	DEHA2A01826g	CAR65345	protein_coding	2	2	4	273	0	0	139	1	0	0	0	0	4	0	0	0	0	0	1	0	0	2	134
DEHA2A01848g	DEHA2A01848g	CAG84370	protein_coding	0	35	16	270	0	0	120	0	1	0	0	0	15	0	0	0	0	0	0	0	0	36	150
DEHA2A01870g	DEHA2A01870g	CAG84371	protein_coding	0	15	8	274	0	0	119	0	0	0	0	0	8	0	0	0	0	0	0	0	0	15	155
DEHA2A01892g	DEHA2A01892g	CAG84372	protein_coding	0	37	11	288	0	0	147	0	0	0	0	0	11	0	0	0	0	0	0	0	0	37	141
DEHA2A01914g	DEHA2A01914g	CAG84373	protein_coding	0	32	9	280	0	0	150	0	0	1	0	0	8	0	0	0	0	0	0	0	0	33	130
DEHA2A01936g	DEHA2A01936g	CAG84374	protein_coding	0	17	4	286	0	0	122	0	0	0	0	0	4	0	0	0	0	0	0	0	0	17	164
DEHA2A01958g	DEHA2A01958g	CAR65346	protein_coding	0	25	7	294	0	0	153	0	0	0	0	0	7	0	0	0	0	0	0	0	0	25	141
DEHA2A01980g	DEHA2A01980g	CAR65347	protein_coding	0	29	29	313	0	0	148	0	0	0	0	0	29	0	0	0	0	0	0	0	0	29	165
DEHA2A02002r	DEHA2A02002r	DEHA2A02002r	protein_coding	0	0	0	328	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170
DEHA2A02024g	DEHA2A02024g	CAG84379	protein_coding	0	34	28	328	0	0	162	0	0	0	0	0	28	0	0	0	0	0	0	0	0	34	166
DEHA2A02046g	DEHA2A02046g	CAG84380	protein_coding	0	35	13	312	0	0	147	0	0	0	0	0	13	0	0	0	0	0	0	0	0	35	165
DEHA2A02068g	DEHA2A02068g	CAR65348	protein_coding	2	2	3	311	0	0	177	1	0	0	0	0	3	0	0	0	0	1	0	0	0	2	134
DEHA2A02090g	DEHA2A02090g	CAG84381	protein_coding	0	16	4	314	0	0	133	0	0	0	0	0	4	0	0	0	0	0	0	0	0	16	181
DEHA2A02112g	DEHA2A02112g	CAG84382	protein_coding	0	48	15	289	0	0	135	0	0	0	0	0	15	0	0	0	0	0	0	0	0	48	154
DEHA2A02134g	DEHA2A02134g	CAG84383	protein_coding	0	15	13	267	0	0	143	0	0	0	0	0	13	0	0	0	1	0	0	0	1	14	124
DEHA2A02156g	DEHA2A02156g	CAG84384	protein_coding	0	51	9	275	0	0	136	0	0	0	0	0	9	0	0	0	0	0	0	0	0	51	139
DEHA2A02178g	DEHA2A02178g	CAG84385	protein_coding	0	13	5	265	0	0	135	0	0	0	0	0	5	0	0	0	0	0	0	0	0	13	130
DEHA2A02200g	DEHA2A02200g	CAG84386	protein_coding	0	23	22	283	0	0	131	0	0	0	0	0	22	0	0	0	0	0	0	0	0	23	152
DEHA2A02222g	DEHA2A02222g	CAG84387	protein_coding	1	34	23	287	1	0	130	0	0	0	0	0	22	0	0	0	1	0	0	1	0	34	157
DEHA2A02244g	DEHA2A02244g	CAR65349	protein_coding	0	87	74	292	0	0	132	0	0	1	0	0	73	0	0	0	1	0	0	0	1	86	160
DEHA2A02266g	DEHA2A02266g	CAG84389	protein_coding	0	32	33	342	1	0	162	0	0	1	0	0	31	0	0	0	0	0	0	0	0	32	180
DEHA2A02288g	DEHA2A02288g	CAG84390	protein_coding	1	7	13	336	0	0	163	0	0	0	0	0	13	0	0	0	0	1	0	0	0	7	173
DEHA2A02310g	DEHA2A02310g	CAG84391	protein_coding	0	13	2	355	0	0	165	0	0	0	0	0	2	0	0	0	1	0	0	0	1	12	190
DEHA2A02332g	DEHA2A02332g	CAG84392	protein_coding	0	9	2	366	0	0	198	0	0	0	0	0	2	0	0	0	0	0	0	0	0	9	168
DEHA2A02354g	DEHA2A02354g	CAR65350	protein_coding	0	57	28	341	0	0	182	0	0	0	0	0	28	0	0	0	0	0	0	0	0	57	159
DEHA2A02376g	DEHA2A02376g	CAG84394	protein_coding	0	20	41	340	0	0	179	0	0	0	0	0	41	0	0	0	0	0	0	0	0	20	161
DEHA2A02398g	DEHA2A02398g	CAG84395	protein_coding	0	16	9	348	0	0	196	0	0	0	0	0	9	0	0	0	0	0	0	0	0	16	152
DEHA2A02420g	DEHA2A02420g	CAG84396	protein_coding	0	25	2	309	0	0	128	0	0	0	0	0	2	0	0	0	0	0	0	0	0	25	181
DEHA2A02442g	DEHA2A02442g	CAR65351	protein_coding	0	22	9	295	0	0	181	0	0	0	0	0	9	0	0	0	0	0	0	0	0	22	114
DEHA2A02464g	DEHA2A02464g	CAG84398	protein_coding	0	32	17	265	0	0	102	0	0	0	0	0	17	0	0	0	0	0	0	0	0	32	163
DEHA2A02486g	DEHA2A02486g	CAG84399	protein_coding	0	7	0	276	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	119
DEHA2A02508g	DEHA2A02508g	CAG84400	protein_coding	0	42	14	295	0	0	133	0	0	0	0	0	14	0	0	0	0	0	0	0	0	42	162
DEHA2A02530g	DEHA2A02530g	CAG84401	protein_coding	0	6	0	273	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	105
DEHA2A02552g	DEHA2A02552g	CAG84402	protein_coding	0	27	22	213	0	0	107	0	0	0	0	0	22	0	0	0	0	0	0	0	0	27	106
DEHA2A02574g	DEHA2A02574g	CAG84403	protein_coding	0	4	1	226	0	0	96	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	130
DEHA2A02596g	DEHA2A02596g	CAG84404	protein_coding	0	48	33	131	0	0	4	0	0	0	0	0	33	0	0	0	0	0	0	0	0	48	127
DEHA2A02618g	DEHA2A02618g	CAG84405	protein_coding	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160
DEHA2A02640g	DEHA2A02640g	CAG84406	protein_coding	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138
DEHA2A02662g	DEHA2A02662g	CAG84407	protein_coding	0	0	0	108	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02684g	DEHA2A02684g	CAG84408	protein_coding	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
DEHA2A02772g	DEHA2A02772g	CAR65352	protein_coding	0	0	0	29	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02794g	DEHA2A02794g	CAG84414	protein_coding	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50
DEHA2A02816g	DEHA2A02816g	CAG84415	protein_coding	0	0	0	66	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DEHA2A02838g	DEHA2A02838g	CAG84418	protein_coding	0	47	11	118	0	1	114	0	0	0	0	0	10	0	0	0	0	0	0	0	0	47	4
DEHA2A02860g	DEHA2A02860g	CAG84419	protein_coding	0	15	0	201	0	0	130	0	0	0	0	4	0	0	0	0	0	0	0	0	0	15	67
DEHA2A02882g	DEHA2A02882g	CAR65353	protein_coding	0	36	16	218	1	0	122	0	0	0	0	0	15	0	0	0	0	0	0	0	0	36	96
DEHA2A02904g	DEHA2A02904g	CAG84421	protein_coding	0	35	16	232	0	0	101	0	0	0	0	0	16	0	0	0	0	0	0	0	0	35	131
DEHA2A02926g	DEHA2A02926g	CAG84422	protein_coding	0	23	6	262	0	0	132	0	0	0	0	0	6	0	0	0	0	0	0	0	0	23	130
DEHA2A02948g	DEHA2A02948g	CAG84423	protein_coding	1	0	5	253	0	0	120	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	133
DEHA2A02970g	DEHA2A02970g	CAR65354	protein_coding	0	58	21	260	0	0	136	0	0	0	0	0	21	0	0	0	0	0	0	0	0	58	124
DEHA2A02992g	DEHA2A02992g	CAG84425	protein_coding	0	26	1	273	0	0	137	0	0	0	0	2	1	0	0	0	0	0	0	0	0	26	134
DEHA2A03014g	DEHA2A03014g	CAG84426	protein_coding	0	15	3	275	0	0	141	0	0	0	0	0	3	0	0	0	0	0	0	0	0	15	134
DEHA2A03036g	DEHA2A03036g	CAG84427	protein_coding	0	22	12	269	0	0	124	0	0	0	0	0	12	0	0	0	0	0	0	0	0	22	145
DEHA2A03058g	DEHA2A03058g	CAG84428	protein_coding	0	14	3	257	0	0	121	0	0	0	0	0	3	0	0	0	0	0	0	0	0	14	136
DEHA2A03080g	DEHA2A03080g	CAG84429	protein_coding	0	23	9	267	0	0	133	0	0	0	0	0	9	0	0	0	0	0	0	0	0	23	134
DEHA2A03102g	DEHA2A03102g	CAR65355	protein_coding	0	62	32	264	0	0	140	0	0	1	0	0	31	0	0	0	0	0	0	0	0	62	124
DEHA2A03124g	DEHA2A03124g	CAR65356	protein_coding	0	32	12	269	0	0	139	0	0	0	0	0	12	0	0	0	0	0	0	0	0	32	130
DEHA2A03146g	DEHA2A03146g	CAG84432	protein_coding	0	46	50	267	0	0	134	0	0	0	0	0	50	0	0	0	0	0	0	0	0	46	133
DEHA2A03168g	DEHA2A03168g	CAG84433	protein_coding	0	15	15	269	0	0	141	0	0	0	0	0	15	0	0	0	0	0	0	0	0	15	128
DEHA2A03190g	DEHA2A03190g	CAG84434	protein_coding	0	33	26	274	0	0	135	0	0	0	0	0	26	0	0	0	0	0	0	0	0	33	139
DEHA2A03212g	DEHA2A03212g	CAG84435	protein_coding	0	16	7	298	0	0	155	0	0	0	0	0	7	0	0	0	0	0	0	0	0	16	143
DEHA2A03234g	DEHA2A03234g	CAG84436	protein_coding	0	5	5	278	0	0	144	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	134
DEHA2A03256g	DEHA2A03256g	CAG84437	protein_coding	0	22	14	263	0	0	137	0	0	0	0	0	14	0	0	0	0	0	0	0	0	22	126
DEHA2A03278g	DEHA2A03278g	CAG84438	protein_coding	0	42	20	240	0	0	138	0	0	0	0	0	20	0	0	0	0	0	0	0	0	42	102
DEHA2A03300g	DEHA2A03300g	CAG84439	protein_coding	0	11	10	241	0	0	101	0	0	0	0	0	10	0	0	0	0	0	0	0	0	11	140
DEHA2A03322g	DEHA2A03322g	CAG84440	protein_coding	0	43	4	250	0	0	123	0	0	0	0	0	4	0	0	0	0	0	0	0	0	43	127
DEHA2A03344g	DEHA2A03344g	CAG84441	protein_coding	0	2	0	233	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	103
DEHA2A03366g	DEHA2A03366g	CAG84442	protein_coding	0	32	26	240	0	0	96	0	1	0	0	0	25	0	0	0	0	0	0	0	0	32	144
DEHA2A03388g	DEHA2A03388g	CAG84443	protein_coding	0	64	16	265	0	0	110	0	0	0	0	4	16	0	0	0	1	0	0	0	0	63	152
DEHA2A03410g	DEHA2A03410g	CAR65357	protein_coding	3	2	8	273	0	0	137	3	0	0	0	0	10	0	0	0	0	0	0	0	0	2	136
DEHA2A03432g	DEHA2A03432g	CAR65358	protein_coding	0	7	3	276	0	0	133	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	143
DEHA2A03454g	DEHA2A03454g	CAG84444	protein_coding	0	28	7	283	0	0	131	0	0	0	0	0	7	0	0	0	0	0	0	0	0	28	152
DEHA2A03476g	DEHA2A03476g	CAR65359	protein_coding	1	40	9	270	0	0	124	1	0	0	0	0	9	0	0	0	2	0	0	1	1	39	146
DEHA2A03498g	DEHA2A03498g	CAG84446	protein_coding	0	6	6	256	0	0	135	0	0	1	0	0	5	0	0	0	0	0	0	0	0	6	121
DEHA2A03520g	DEHA2A03520g	CAG84447	protein_coding	0	52	17	257	0	0	128	0	0	0	0	0	17	0	0	0	0	0	0	0	0	52	129
DEHA2A03542g	DEHA2A03542g	CAR65360	protein_coding	0	34	8	289	0	0	164	0	0	0	0	0	8	0	0	0	0	0	0	0	0	34	125
DEHA2A03564g	DEHA2A03564g	CAG84449	protein_coding	0	29	18	291	0	0	163	0	0	1	0	0	18	0	0	0	0	0	0	0	0	29	128
DEHA2A03586g	DEHA2A03586g	CAG84450	protein_coding	0	33	41	271	0	0	127	0	0	1	0	0	40	0	0	0	0	0	0	0	0	33	144
DEHA2A03608g	DEHA2A03608g	CAG84451	protein_coding	0	35	15	269	0	0	165	0	0	0	0	0	15	0	0	0	0	0	0	0	0	35	104
DEHA2A03630g	DEHA2A03630g	CAG84452	protein_coding	0	23	21	258	0	0	166	0	0	0	0	0	21	0	0	0	0	0	0	0	0	23	92
DEHA2A03652g	DEHA2A03652g	CAG84453	protein_coding	1	45	13	237	0	0	114	1	0	0	0	0	13	0	0	0	0	0	1	0	0	45	123
DEHA2A03674g	DEHA2A03674g	CAR65361	protein_coding	0	22	4	223	0	0	125	0	0	0	0	0	4	0	0	0	0	0	0	0	0	22	98
DEHA2A03696g	DEHA2A03696g	CAG84455	protein_coding	0	78	22	196	0	0	106	0	0	0	0	0	22	0	0	0	1	0	0	0	1	77	90
DEHA2A03718g	DEHA2A03718g	CAG84456	protein_coding	0	23	24	195	0	0	124	0	0	2	0	0	23	0	0	0	0	0	0	0	0	23	71
DEHA2A03740g	DEHA2A03740g	CAG84457	protein_coding	0	0	0	215	0	0	68	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	137
DEHA2A03762r	DEHA2A03762r	DEHA2A03762r	protein_coding	0	0	0	203	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
DEHA2A03784g	DEHA2A03784g	CAG84460	protein_coding	2	0	4	107	0	0	42	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	65
DEHA2A03806g	DEHA2A03806g	CAG84461	protein_coding	2	14	9	99	0	1	27	1	0	0	0	0	8	0	0	0	0	0	2	0	0	14	72
DEHA2A04334g	DEHA2A04334g	CAG84465	protein_coding	0	31	33	234	0	0	119	0	0	0	0	0	33	0	0	0	0	0	0	0	0	31	115
DEHA2A04356g	DEHA2A04356g	CAG84466	protein_coding	0	23	9	278	0	0	133	0	0	0	0	0	9	0	0	0	1	0	0	0	1	22	145
DEHA2A04378g	DEHA2A04378g	CAG84467	protein_coding	0	36	12	292	0	0	131	0	0	0	0	0	12	0	0	0	0	0	0	0	0	36	161
DEHA2A04400g	DEHA2A04400g	CAG84468	protein_coding	0	26	27	269	1	0	159	0	0	0	0	3	26	0	0	0	2	0	0	0	0	24	109
